feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_174_Helcococcus_nan	age_days_numeric	age_days_numeric	0.212850425823748	0.0481807162287684	462	60	1.30072574855006e-05	0.0007947036856492
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.363597831661982	0.0833884876843843	462	82	1.67306039084042e-05	0.0007947036856492
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	-0.294312745986187	0.0743920054301805	462	161	9.0761964358406e-05	0.00287412887134952
ASV_20_Neisseria_nan	collection_season2	autumn	-0.735194172493348	0.191505335078762	462	47	0.000141444123643135	0.00335929793652445
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.237151712438178	0.0627643118963042	462	57	0.000183061081583792	0.00347816055009204
ASV_4_Corynebacterium_nan	collection_season2	autumn	1.24388684517629	0.347854576931115	462	362	0.000389130397000897	0.00504224253795428
ASV_4_Corynebacterium_nan	collection_season2	winter	1.11865039810995	0.312514742457096	462	362	0.00038212248013165	0.00504224253795428
ASV_20_Neisseria_nan	collection_season2	winter	-0.601465685397909	0.169407074903431	462	47	0.000424609897932992	0.00504224253795428
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	-0.181455740985322	0.0577109280830143	462	48	0.00179495290077666	0.0189467250637536
ASV_2_Haemophilus_nan	collection_season2	autumn	-1.50364488504176	0.488381285917988	462	285	0.00220986743754508	0.0209937406566783
ASV_20_Neisseria_nan	collection_season2	spring	-0.513781267465605	0.171102455508549	462	47	0.00282307041164964	0.024381062646065
ASV_1_Moraxella_nan	collection_season2	autumn	0.727913028044349	0.248349677034205	462	457	0.00355710405102483	0.0281604070706133
ASV_174_Helcococcus_nan	collection_season2	winter	0.414941739776754	0.146599342319128	462	60	0.004870946998188	0.0355953819098354
ASV_35_ASV_35_nan	collection_season2	winter	-0.457234985794885	0.164384874476412	462	48	0.00563545914031732	0.0382406155950104
ASV_174_Helcococcus_nan	collection_season2	spring	0.397391983700575	0.146249699074837	462	60	0.0068591621414719	0.0407262752149894
ASV_3_Haemophilus_nan	collection_season2	spring	1.21675225692159	0.447057081691172	462	247	0.0067512998011787	0.0407262752149894
ASV_4_Corynebacterium_nan	collection_season2	spring	0.8002354742135	0.313252787758062	462	362	0.0109694988165055	0.0613001404451779
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.417223435068032	0.165630362829386	462	51	0.0121143399407923	0.0639367941319593
ASV_35_ASV_35_nan	collection_season2	spring	-0.407751430388617	0.166075400857621	462	48	0.0144536909644571	0.0722684548222857
ASV_7_Streptococcus_nan	collection_season2	winter	-0.875250630840824	0.363758079059991	462	304	0.0165232966656	0.0784856591616
ASV_2_Haemophilus_nan	collection_season2	spring	1.02122640366654	0.438362753724399	462	285	0.0202709299711156	0.0917018260598085
ASV_39_Gemella_nan	collection_season2	winter	-0.317567203412753	0.139915553457694	462	39	0.0237086569368517	0.0979270612609092
ASV_13_Neisseria_nan	collection_season2	winter	-0.411433595234125	0.180293893736306	462	45	0.0229482942451206	0.0979270612609092
ASV_4_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.23351429279277	0.105386659744142	462	362	0.0272948470028821	0.108042102719742
ASV_35_ASV_35_nan	collection_season2	autumn	-0.388844946934141	0.185929772799272	462	48	0.0370627522733261	0.140838458638639
ASV_58_Porphyromonas_nan	collection_season2	spring	-0.34515724160365	0.167987751326538	462	51	0.0404814093400425	0.147912841819386
ASV_13_Neisseria_nan	collection_season2	autumn	-0.412510784435912	0.20351251530769	462	45	0.0432655822396566	0.152230752324718
ASV_13_Neisseria_nan	collection_season2	spring	-0.323136745557324	0.181964676503443	462	45	0.0764336019473175	0.259328292321256
ASV_3_Haemophilus_nan	collection_season2	autumn	0.86206512192087	0.497347815134696	462	247	0.0837534672645716	0.274364806556355
ASV_22_ASV_22_nan	collection_season2	autumn	-0.419797123967928	0.248716685931646	462	161	0.0921984222111876	0.291961670335428
ASV_33_Alloprevotella_nan	age_days_numeric	age_days_numeric	0.086831128087823	0.052865436603869	462	37	0.101308020084524	0.310460061549349
ASV_8_Corynebacterium_nan	collection_season2	winter	0.290538560066389	0.189712721040075	462	57	0.126393371880056	0.324523522394739
ASV_33_Alloprevotella_nan	collection_season2	winter	-0.22969308530602	0.147155711891403	462	37	0.119257168635802	0.324523522394739
ASV_6_Dolosigranulum_pigrum	collection_season2	autumn	0.525547732957865	0.343106468105108	462	390	0.126310863144636	0.324523522394739
ASV_13_Neisseria_nan	age_days_numeric	age_days_numeric	-0.097766725755889	0.0629804767794983	462	45	0.121410810270969	0.324523522394739
ASV_1_Moraxella_nan	age_days_numeric	age_days_numeric	0.117211822386941	0.0759503033743207	462	457	0.123591584471158	0.324523522394739
ASV_1_Moraxella_nan	collection_season2	winter	0.344958909146144	0.221760591832	462	457	0.120514563689235	0.324523522394739
ASV_35_ASV_35_nan	delivery	vaginal	0.312658557182899	0.204537026177394	462	48	0.130540922550053	0.326352306375132
ASV_20_Neisseria_nan	age_days_numeric	age_days_numeric	0.087147368171275	0.0593936430717949	462	47	0.143118500035271	0.348621987265404
ASV_3_Haemophilus_nan	collection_season2	winter	0.627973610807088	0.445237853570318	462	247	0.159105580788913	0.377875754373669
ASV_5_Staphylococcus_nan	collection_season2	spring	-0.268599292436385	0.198886734775088	462	57	0.17752104555843	0.411329251903678
ASV_39_Gemella_nan	collection_season2	autumn	-0.201188906738875	0.160654605787363	462	39	0.211102851527347	0.455790247615862
ASV_39_Gemella_nan	collection_season2	spring	-0.179510438623146	0.142438506503757	462	39	0.208220030798407	0.455790247615862
ASV_2_Haemophilus_nan	age_days_numeric	age_days_numeric	0.18895136913223	0.149417279234206	462	285	0.20678935838191	0.455790247615862
ASV_24_Streptococcus_nan	age_days_numeric	age_days_numeric	-0.0806300585911842	0.0668577418674639	462	62	0.228562533691519	0.482520904459873
ASV_13_Neisseria_nan	delivery	vaginal	-0.271779896309449	0.229897247682384	462	45	0.240939769619144	0.497593002474319
ASV_7_Streptococcus_nan	collection_season2	autumn	0.471497096992621	0.406865199186136	462	304	0.24715622526151	0.499571093613691
ASV_8_Corynebacterium_nan	collection_season2	spring	-0.209674257590803	0.189487469912961	462	57	0.26912828239939	0.501317388783177
ASV_58_Porphyromonas_nan	collection_season2	autumn	-0.209054372735481	0.18879498965619	462	51	0.268751230977769	0.501317388783177
ASV_6_Dolosigranulum_pigrum	delivery	vaginal	-0.469179166592682	0.418609414813587	462	390	0.265948657924327	0.501317388783177
ASV_10_Streptococcus_nan	collection_season2	spring	-0.245344416227438	0.216305011468919	462	95	0.257285671465334	0.501317388783177
ASV_24_Streptococcus_nan	collection_season2	spring	-0.200869929897521	0.187782906825844	462	62	0.2853245782556	0.521266056428501
ASV_33_Alloprevotella_nan	collection_season2	autumn	-0.171337636235595	0.168014663014691	462	37	0.308380017488323	0.544000337264883
