feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_174_Helcococcus_nan	age_days_numeric	age_days_numeric	0.21301150067817	0.0481841823104301	462	60	1.28360996251298e-05	0.00162883897995749
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.363142952272916	0.0833917455714601	462	82	1.71456734732367e-05	0.00162883897995749
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	-0.293662348985493	0.0743953704055124	462	161	9.40740967202205e-05	0.00595802612561397
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.236506594967417	0.0627589246411476	462	57	0.000190232605248002	0.00618790365529173
ASV_20_Neisseria_nan	collection_season2	autumn	-0.729285797849955	0.191458998734782	462	47	0.000159175947477966	0.00618790365529173
ASV_20_Neisseria_nan	collection_season2	winter	-0.639723989794778	0.170327538652187	462	47	0.000195407483851318	0.00618790365529173
ASV_4_Corynebacterium_nan	collection_season2	autumn	1.24546684141731	0.347819629881246	462	362	0.000382170842208804	0.0090765575024591
ASV_4_Corynebacterium_nan	collection_season2	winter	1.12490139751974	0.31358296804047	462	362	0.000371638708577388	0.0090765575024591
ASV_20_Neisseria_nan	collection_season2	spring	-0.571649712526247	0.173204848207679	462	47	0.00104271801030802	0.0220129357731693
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	-0.182294558020754	0.0577176771195036	462	48	0.00171212596109549	0.0321032660206378
ASV_2_Haemophilus_nan	collection_season2	autumn	-1.52376142274966	0.48665049896231	462	285	0.00185861013803692	0.0321032660206378
ASV_1_Moraxella_nan	collection_season2	autumn	0.737201576769235	0.247928919301271	462	457	0.00310878611507932	0.0492224468220892
ASV_3_Haemophilus_nan	collection_season2	spring	1.31301508174493	0.451023151982385	462	247	0.00378595381852793	0.0553331711938698
ASV_24_Streptococcus_nan	excl_bf_maxtimepoint	T01	0.571497941075586	0.198357301758751	462	62	0.00522441945156538	0.0661759797198282
ASV_174_Helcococcus_nan	collection_season2	winter	0.414743867028972	0.147051225137004	462	60	0.00502530209654232	0.0661759797198282
ASV_35_ASV_35_nan	collection_season2	winter	-0.458370259729348	0.165749454185756	462	48	0.00591792574074594	0.070275368171358
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.454776277659665	0.166896713138087	462	51	0.00668539206907137	0.0747190878307977
ASV_174_Helcococcus_nan	collection_season2	spring	0.395164552650145	0.146987748460325	462	60	0.00747307540537211	0.0788824626122612
ASV_4_Corynebacterium_nan	collection_season2	spring	0.802221011536762	0.31562974379173	462	362	0.0113842258475563	0.113842258475563
ASV_39_Gemella_nan	collection_season2	winter	-0.331229115603152	0.141734669946543	462	39	0.0198897509815617	0.179954889833177
ASV_35_ASV_35_nan	collection_season2	spring	-0.394146036755787	0.168469196571343	462	48	0.0197458159569878	0.179954889833177
ASV_58_Porphyromonas_nan	collection_season2	spring	-0.392932436085828	0.170573740386551	462	51	0.0217000887560726	0.183411378928466
ASV_2_Haemophilus_nan	collection_season2	spring	1.01185323233101	0.440894169294995	462	285	0.0222024300808143	0.183411378928466
ASV_7_Streptococcus_nan	collection_season2	winter	-0.818116195773574	0.36554383507769	462	304	0.0257084025949379	0.2003635426844
ASV_13_Neisseria_nan	collection_season2	winter	-0.405440494351029	0.181963693936497	462	45	0.026363624037421	0.2003635426844
ASV_4_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.233129811192333	0.10539657599175	462	362	0.0275627007426694	0.20141973619643
ASV_5_Staphylococcus_nan	excl_bf_maxtimepoint	T05	1.25780689006228	0.571893091260937	462	57	0.0311669078609706	0.219322684947571
ASV_35_ASV_35_nan	collection_season2	autumn	-0.39787809403314	0.186195791066679	462	48	0.0331558862389938	0.224986370907458
