feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_174_Helcococcus_nan	age_days_numeric	age_days_numeric	0.216298333030256	0.0487598329670846	462	60	1.19907096118616e-05	0.000776057874580151
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.368414245670987	0.0843913216072517	462	82	1.63380605174769e-05	0.000776057874580151
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	-0.300118019985273	0.0753144199520132	462	161	8.08368803130764e-05	0.00255983454324742
ASV_20_Neisseria_nan	collection_season2	autumn	-0.703498961946804	0.193433855459222	462	47	0.000308023010739578	0.00731554650506497
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.225664865035864	0.0632929168977729	462	57	0.00040933523611478	0.00777736948618082
ASV_4_Corynebacterium_nan	collection_season2	winter	1.10045408334862	0.314461549466302	462	362	0.00051315931971317	0.0081250225621252
ASV_4_Corynebacterium_nan	collection_season2	autumn	1.21859725689206	0.352958726968642	462	362	0.000610416097323448	0.00828421846367537
ASV_20_Neisseria_nan	collection_season2	winter	-0.57641026688174	0.170211530930797	462	47	0.000769390204564869	0.00913650867920782
ASV_2_Haemophilus_nan	collection_season2	autumn	-1.48251103119838	0.494945101000914	462	285	0.00289691505619577	0.0305785478153998
ASV_174_Helcococcus_nan	collection_season2	winter	0.422931836828482	0.147564794975426	462	60	0.00436457741356401	0.0414634854288581
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	-0.164894004662641	0.0581874587001321	462	48	0.00484008306283056	0.0418007173608094
ASV_20_Neisseria_nan	collection_season2	spring	-0.480813393355179	0.172740324816718	462	47	0.00560358487166588	0.0443617135673549
ASV_174_Helcococcus_nan	collection_season2	spring	0.406754710642886	0.147631921407	462	60	0.00612527393279112	0.0447616172011659
ASV_3_Haemophilus_nan	collection_season2	spring	1.21672587852677	0.451853827323061	462	247	0.0073570987682918	0.0491987821149937
ASV_1_Moraxella_nan	collection_season2	autumn	0.672005884758513	0.251283857552856	462	457	0.00776822875499901	0.0491987821149937
ASV_35_ASV_35_nan	collection_season2	winter	-0.425435353304014	0.164895939287391	462	48	0.0101917161886383	0.06051331487004
ASV_4_Corynebacterium_nan	collection_season2	spring	0.777617539872701	0.316383144855141	462	362	0.0143672376063088	0.0802875042705492
ASV_7_Streptococcus_nan	collection_season2	winter	-0.867623269688922	0.366008341285956	462	304	0.0181830933959472	0.0959663262563881
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.387189373292694	0.166152226486045	462	51	0.0202295935434423	0.0966236047763285
ASV_2_Haemophilus_nan	collection_season2	spring	1.03141272146338	0.442981387685258	462	285	0.0203418115318586	0.0966236047763285
ASV_4_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.239986602374794	0.10649699150224	462	362	0.0247921428841308	0.112154932094877
ASV_35_ASV_35_nan	first_INH_upto_100days_post	yes	0.753517985278472	0.341509088593083	462	48	0.0279158679525906	0.120545793431641
ASV_39_Gemella_nan	collection_season2	winter	-0.304023995155703	0.140559481206967	462	39	0.0310835502749753	0.123039053171777
ASV_35_ASV_35_nan	collection_season2	spring	-0.364248492266707	0.167520873830371	462	48	0.0301950968478334	0.123039053171777
ASV_13_Neisseria_nan	collection_season2	winter	-0.384218420035933	0.181493197959817	462	45	0.0348020119893526	0.13224764555954
ASV_13_Neisseria_nan	collection_season2	autumn	-0.389520808351282	0.205872196508546	462	45	0.0591318987941616	0.216058860978667
ASV_58_Porphyromonas_nan	collection_season2	spring	-0.303805634042256	0.169425989351386	462	51	0.0736122652785266	0.259006118572594
