feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_174_Helcococcus_nan	age_days_numeric	age_days_numeric	0.211168791352356	0.0482198794948904	462	60	1.54023094587237e-05	0.00103195793972405
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.357605600582169	0.0831631973657529	462	82	2.172543030998e-05	0.00103195793972405
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	-0.299370881612717	0.0742478113409064	462	161	6.67867611807964e-05	0.00211491410405855
ASV_20_Neisseria_nan	collection_season2	autumn	-0.750475495034271	0.191246454327185	462	47	0.000100825534046757	0.00239460643361048
ASV_4_Corynebacterium_nan	collection_season2	autumn	1.30119044303403	0.347241323675507	462	362	0.000203339442956101	0.0027596067258328
ASV_4_Corynebacterium_nan	collection_season2	winter	1.17479710392809	0.311690949112397	462	362	0.00018572708762906	0.0027596067258328
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.236058742359482	0.0628443920655024	462	57	0.000199507668499815	0.0027596067258328
ASV_20_Neisseria_nan	collection_season2	winter	-0.608658254466738	0.169048534789525	462	47	0.000352505769312672	0.00418600601058798
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	-0.179703748821519	0.0578115084784712	462	48	0.00202113414479501	0.0194253532011415
ASV_2_Haemophilus_nan	collection_season2	autumn	-1.51864215831639	0.489516927962829	462	285	0.00204477402117278	0.0194253532011415
ASV_20_Neisseria_nan	collection_season2	spring	-0.524069038862926	0.170696375170873	462	47	0.00226737014167896	0.0195818330417728
ASV_58_Porphyromonas_nan	first_antibiotics_upto_100days_post	yes	0.563258418396614	0.187022271242904	462	51	0.00277367515318955	0.0219582616294173
ASV_1_Moraxella_nan	collection_season2	autumn	0.731042299638312	0.248980986495179	462	457	0.00349924510182657	0.025571406513348
ASV_174_Helcococcus_nan	collection_season2	winter	0.427534195255133	0.14727991377016	462	60	0.00389042123089408	0.0263992869239241
ASV_35_ASV_35_nan	collection_season2	winter	-0.473588391479212	0.164712063494309	462	48	0.00422638455836593	0.0267671022029842
ASV_174_Helcococcus_nan	collection_season2	spring	0.410923262274013	0.147060492893426	462	60	0.00544096773384751	0.0323057459197196
ASV_4_Corynebacterium_nan	collection_season2	spring	0.863776913106166	0.312681898117662	462	362	0.00597596277883117	0.0333950861169977
ASV_58_Porphyromonas_nan	collection_season2	winter	-0.439915591119625	0.164128691480787	462	51	0.00762479514474456	0.0381239757237228
ASV_3_Haemophilus_nan	collection_season2	spring	1.20275657989345	0.448276835264139	462	247	0.00756638448177635	0.0381239757237228
ASV_13_Neisseria_nan	first_antibiotics_upto_100days_post	yes	0.544588445372365	0.207106900416102	462	45	0.00887269756331325	0.0421453134257379
ASV_35_ASV_35_nan	collection_season2	spring	-0.426661417121367	0.16638200028027	462	48	0.0106568305922583	0.0482094717268828
ASV_6_Dolosigranulum_pigrum	first_antibiotics_upto_100days_post	yes	-0.880084569658687	0.354067808340011	462	390	0.0133142583265051	0.0574933882280903
ASV_4_Corynebacterium_nan	first_antibiotics_upto_100days_post	yes	-0.869346487572871	0.368946127680492	462	362	0.0188849921790703	0.0732655415354574
ASV_7_Streptococcus_nan	collection_season2	winter	-0.854695210825222	0.363938824615037	462	304	0.0192804056672256	0.0732655415354574
ASV_13_Neisseria_nan	collection_season2	winter	-0.426079494775351	0.17924827148482	462	45	0.0178642062770226	0.0732655415354574
ASV_4_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.243142418384717	0.105155387089742	462	362	0.0212966873195756	0.0749327887170252
ASV_39_Gemella_nan	collection_season2	winter	-0.321955492242489	0.139043317764282	462	39	0.0210473101894024	0.0749327887170252
ASV_2_Haemophilus_nan	collection_season2	spring	0.995572990616752	0.439010950516047	462	285	0.0238176355001609	0.0808098347326887
ASV_58_Porphyromonas_nan	collection_season2	spring	-0.369576110647574	0.166248831600223	462	51	0.0267032914920816	0.0874319365392386
ASV_13_Neisseria_nan	collection_season2	autumn	-0.447428143728251	0.202448904831346	462	45	0.0276100852229174	0.0874319365392386
ASV_35_ASV_35_nan	collection_season2	autumn	-0.392829107466706	0.186500927644528	462	48	0.035735972855879	0.1095134652035
ASV_39_Gemella_nan	first_antibiotics_upto_100days_post	yes	0.310376598629576	0.155848261964176	462	39	0.0472299311037283	0.140213857964193
ASV_13_Neisseria_nan	collection_season2	spring	-0.337354159729673	0.180861454443929	462	45	0.0627893557722909	0.180757236314171
ASV_3_Haemophilus_nan	collection_season2	autumn	0.86558802432037	0.498797837815673	462	247	0.0833921392149326	0.233007447806429
ASV_33_Alloprevotella_nan	age_days_numeric	age_days_numeric	0.0885437465403273	0.0528994809037641	462	37	0.0949841758546583	0.238723630914485
ASV_6_Dolosigranulum_pigrum	collection_season2	autumn	0.571550166556988	0.342098209711059	462	390	0.095489452365794	0.238723630914485
ASV_22_ASV_22_nan	first_antibiotics_upto_100days_post	yes	-0.45797292424038	0.272296811249301	462	161	0.0932807310194835	0.238723630914485
ASV_11_Moraxella_lincolnii	first_antibiotics_upto_100days_post	yes	-0.526349958624597	0.309959700064683	462	82	0.09018582960018	0.238723630914485
