feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV_1_Moraxella_nan	first_hosp_upto_100days_post	yes	-2.4160004412072	0.401645202778438	462	457	4.58768780403724e-09	4.35830341383538e-07
ASV_174_Helcococcus_nan	age_days_numeric	age_days_numeric	0.213072631992543	0.0482390148296957	462	60	1.30556953274394e-05	0.000613144701407865
ASV_11_Moraxella_lincolnii	age_days_numeric	age_days_numeric	0.359499725816328	0.0830883437340868	462	82	1.93624642549852e-05	0.000613144701407865
ASV_22_ASV_22_nan	age_days_numeric	age_days_numeric	-0.295110121921166	0.0744563831452497	462	161	8.81626158252023e-05	0.00209386212584856
ASV_8_Corynebacterium_nan	age_days_numeric	age_days_numeric	-0.240046354697222	0.062386939271525	462	57	0.000139827141379836	0.00265671568621689
ASV_20_Neisseria_nan	collection_season2	autumn	-0.728336494138721	0.192775218017328	462	47	0.000179437663673061	0.00284109634149013
ASV_4_Corynebacterium_nan	collection_season2	autumn	1.26847721635843	0.35035958905308	462	362	0.000329382122591179	0.00389656630644268
ASV_4_Corynebacterium_nan	collection_season2	winter	1.12131929555788	0.312453640693377	462	362	0.000369148386926149	0.00389656630644268
ASV_1_Moraxella_nan	collection_season2	autumn	0.881387874462139	0.242405870062539	462	457	0.000309600176846454	0.00389656630644268
ASV_20_Neisseria_nan	collection_season2	winter	-0.598608447089151	0.169244011139599	462	47	0.000446257111170752	0.00423944255612214
ASV_33_Alloprevotella_nan	first_hosp_upto_100days_post	yes	0.812791571886446	0.256437161124639	462	37	0.00171567343412992	0.0146039113987256
ASV_35_ASV_35_nan	age_days_numeric	age_days_numeric	-0.181185756911884	0.0577750033641416	462	48	0.00184470459773376	0.0146039113987256
ASV_2_Haemophilus_nan	collection_season2	autumn	-1.51533980160028	0.491827697640572	462	285	0.00219355172417461	0.016029801061276
ASV_20_Neisseria_nan	collection_season2	spring	-0.509807097751898	0.17090769202152	462	47	0.00300857013829962	0.0204152973670332
ASV_35_ASV_35_nan	collection_season2	winter	-0.468619272026517	0.164675672097787	462	48	0.00463106734666968	0.0293300931955746
