feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Staphylococcus	age_days_numeric	age_days_numeric	-1.4414945781252	0.194582852725377	210	137	1.03585145073105e-11	1.24302174087725e-09
Moraxella	age_days_numeric	age_days_numeric	1.16447165729827	0.187491394844609	210	176	5.55120154418008e-09	3.33072092650805e-07
ASV_22	age_days_numeric	age_days_numeric	0.628735117134801	0.126547621725598	210	39	1.91548259287899e-06	7.66193037151597e-05
Veillonella	age_days_numeric	age_days_numeric	-0.385569474724632	0.0879018444955279	210	43	2.2134731336462e-05	0.000664041940093859
Corynebacterium	age_days_numeric	age_days_numeric	-0.743358129098543	0.172255972512558	210	178	2.97507850848119e-05	0.000714018842035485
Haemophilus	age_days_numeric	age_days_numeric	0.821250515267349	0.194206985611999	210	141	4.20236359214364e-05	0.000840472718428729
Fusobacterium	age_days_numeric	age_days_numeric	0.461000755676874	0.128299973439334	210	49	0.000448884399860634	0.00769516114046801
Klebsiella	age_days_numeric	age_days_numeric	-0.384536132727926	0.112333623112513	210	27	0.000805066418883191	0.0120759962832479
Gemella	age_days_numeric	age_days_numeric	-0.32948300641227	0.101102498755819	210	69	0.00140737166857356	0.0187649555809808
Staphylococcus	collection_season2	spring	-1.96610844121304	0.622850169131119	210	137	0.00188668354749521	0.0226402025699426
Staphylococcus	collection_season2	winter	-2.05149171744318	0.699098923126624	210	137	0.00384933816007172	0.0419927799280551
Dolosigranulum	age_days_numeric	age_days_numeric	0.457564088944956	0.164899072442067	210	125	0.00627097056805786	0.0627097056805786
Klebsiella	collection_season2	spring	-0.816395664737686	0.300597733713535	210	27	0.00743992977663334	0.0686762748612308
Gemella	collection_season2	winter	0.944892826835113	0.381953461247616	210	69	0.0143861206516572	0.115088965213257
Acinetobacter	age_days_numeric	age_days_numeric	-0.246693642845353	0.0987275077074013	210	28	0.0135870491408548	0.115088965213257
Campylobacter	age_days_numeric	age_days_numeric	-0.196591748726572	0.0873577478500892	210	21	0.0254945763282037	0.191209322461528
