feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Staphylococcus	age_days_numeric	age_days_numeric	-1.43818885690182	0.194589379236752	210	137	1.13173143992516e-11	1.58442401589522e-09
Moraxella	age_days_numeric	age_days_numeric	1.16766329468626	0.187215880538322	210	176	4.81951598199788e-09	3.37366118739851e-07
ASV_22	age_days_numeric	age_days_numeric	0.628719395216019	0.12645752977556	210	39	1.88240983417374e-06	8.7845792261441e-05
Veillonella	age_days_numeric	age_days_numeric	-0.388896622319134	0.0877261473007772	210	43	1.82421802747712e-05	0.000638476309616991
Corynebacterium	age_days_numeric	age_days_numeric	-0.749704965955865	0.171577467937134	210	178	2.3805443722507e-05	0.000666552424230197
Haemophilus	age_days_numeric	age_days_numeric	0.820222902216438	0.194223534316665	210	141	4.29368696968801e-05	0.0010018602929272
Fusobacterium	age_days_numeric	age_days_numeric	0.466840150099791	0.12793401611009	210	49	0.000367624314578431	0.00735248629156863
Staphylococcus	collection_season2	spring	-2.13183890827875	0.615551471610063	210	137	0.00067876681517614	0.0105585949027399
Klebsiella	age_days_numeric	age_days_numeric	-0.392811827293997	0.11222665004201	210	27	0.000617757209322869	0.0105585949027399
Gemella	age_days_numeric	age_days_numeric	-0.322040798911956	0.101392915700888	210	69	0.00184117197448486	0.025776407642788
Staphylococcus	collection_season2	winter	-2.07836212873277	0.686552686625427	210	137	0.00291172173493938	0.0370582766265012
Dolosigranulum	age_days_numeric	age_days_numeric	0.454296864013544	0.164562015009176	210	125	0.00653052157751047	0.0761894184042888
Acinetobacter	age_days_numeric	age_days_numeric	-0.25165047262359	0.0985429906343327	210	28	0.0116918480955278	0.12591221025953
Klebsiella	collection_season2	spring	-0.705598615950519	0.29834986967204	210	27	0.0194382416801867	0.194382416801867
