feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Staphylococcus	age_days_numeric	age_days_numeric	-1.43720526039117	0.194652163346196	210	137	1.18026420356562e-11	1.41631704427874e-09
Moraxella	age_days_numeric	age_days_numeric	1.16485193769615	0.187454076923934	210	176	5.4314873127553e-09	3.25889238765318e-07
ASV_22	age_days_numeric	age_days_numeric	0.628122262014169	0.126421624008832	210	39	1.90784051114667e-06	7.6313620445867e-05
Veillonella	age_days_numeric	age_days_numeric	-0.391053843199553	0.087767350327637	210	43	1.6649726964965e-05	0.000499491808948949
Corynebacterium	age_days_numeric	age_days_numeric	-0.748442958133236	0.171730819262518	210	178	2.49362341905312e-05	0.000598469620572748
Haemophilus	age_days_numeric	age_days_numeric	0.819844899522931	0.194281670955519	210	141	4.34981245459842e-05	0.000869962490919684
Fusobacterium	age_days_numeric	age_days_numeric	0.468077223991703	0.128113674382026	210	49	0.000361830262103581	0.00620280449320425
Klebsiella	age_days_numeric	age_days_numeric	-0.395903043918859	0.112451291968417	210	27	0.000575849658318926	0.00863774487478389
Staphylococcus	collection_season2	spring	-2.13414187862745	0.615763069550646	210	137	0.000671363342810413	0.00895151123747217
Gemella	age_days_numeric	age_days_numeric	-0.322032420558313	0.101382460209932	210	69	0.00184017598766628	0.0220821118519954
Staphylococcus	collection_season2	winter	-2.06628276319862	0.695357209340255	210	137	0.00344409741989428	0.0375719718533921
Dolosigranulum	age_days_numeric	age_days_numeric	0.455216515555404	0.164679714658994	210	125	0.00646343741351568	0.0646343741351568
Acinetobacter	age_days_numeric	age_days_numeric	-0.251184063624923	0.0985403511665159	210	28	0.0118428830316373	0.109318920292037
Klebsiella	collection_season2	spring	-0.726678337018602	0.296641245151787	210	27	0.0155619278552132	0.133387953044685
Campylobacter	age_days_numeric	age_days_numeric	-0.191623861001695	0.0878819681223982	210	21	0.0303725383606472	0.227794037704854
Gemella	collection_season2	winter	0.842824011788136	0.383147903547821	210	69	0.0292377973241655	0.227794037704854
