feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Staphylococcus	age_days_numeric	age_days_numeric	-1.4375185126756	0.194589055627669	210	137	1.15112220689931e-11	1.15112220689931e-09
Moraxella	age_days_numeric	age_days_numeric	1.16970561538604	0.187386395661161	210	176	4.70427700987971e-09	2.35213850493986e-07
ASV_22	age_days_numeric	age_days_numeric	0.628963679543821	0.126346104566144	210	39	1.82734903827776e-06	6.09116346092585e-05
Veillonella	age_days_numeric	age_days_numeric	-0.391823304060106	0.0877494128151763	210	43	1.59975305433217e-05	0.000399938263583042
Corynebacterium	age_days_numeric	age_days_numeric	-0.749546438283415	0.171730825783208	210	178	2.42974772096667e-05	0.000485949544193334
Haemophilus	age_days_numeric	age_days_numeric	0.823322155825102	0.194590728588184	210	141	4.1653423221157e-05	0.000694223720352617
Fusobacterium	age_days_numeric	age_days_numeric	0.46610992263658	0.127959809056034	210	49	0.000376166305725737	0.00537380436751053
Klebsiella	age_days_numeric	age_days_numeric	-0.395802561821631	0.112291919871652	210	27	0.000567333482008725	0.00709166852510907
Staphylococcus	collection_season2	spring	-2.12268253481343	0.621780341820049	210	137	0.000800639653286083	0.00889599614762315
Gemella	age_days_numeric	age_days_numeric	-0.32177669912658	0.101231709124671	210	69	0.00182617848696159	0.0182617848696159
Staphylococcus	collection_season2	winter	-2.11465858989224	0.700780982710824	210	137	0.00297967088842155	0.0270879171674687
ASV_63	siblings2	yes	-0.634243296176279	0.223914120457953	210	23	0.00607838505506084	0.0494143018534935
Dolosigranulum	age_days_numeric	age_days_numeric	0.455349888504698	0.164604260665258	210	125	0.00642385924095415	0.0494143018534935
Klebsiella	collection_season2	spring	-0.813157163361041	0.298057661405237	210	27	0.00719975378568011	0.0514268127548579
Acinetobacter	age_days_numeric	age_days_numeric	-0.253592954854377	0.0984492987590139	210	28	0.010998175032338	0.0733211668822532
Gemella	collection_season2	winter	0.882462239080898	0.3839616648889	210	69	0.0228042362334088	0.142526476458805
Campylobacter	age_days_numeric	age_days_numeric	-0.192572176259833	0.0877229598572312	210	21	0.0292750757139276	0.172206327728986
ASV_63	collection_season2	spring	-0.558707066188759	0.258620842538495	210	23	0.0324164153235359	0.180091196241866
ASV_63	collection_season2	winter	-0.59314968925277	0.286434508528238	210	23	0.0404601986453466	0.212948413922877
Haemophilus	siblings2	yes	1.34449742346149	0.657828229275821	210	141	0.0448918766789509	0.224459383394754
