feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Moraxella	age_days_numeric	age_days_numeric	0.492558496016311	0.125715679962503	255	248	0.000128644044063904	0.0122211841860708
ASV_35	HIV	_unexposed	0.756031284836481	0.257621529797282	255	48	0.00431452540043434	0.0831561589715553
Streptobacillus	age_days_numeric	age_days_numeric	-0.248006959813468	0.08771602449132	255	43	0.0052519679350456	0.0831561589715553
Neisseria	age_days_numeric	age_days_numeric	-0.314850036408689	0.110695123215556	255	68	0.00498752952942317	0.0831561589715553
Haemophilus	collection_season2	spring	1.87347106116356	0.620088775008438	255	202	0.00278455838926706	0.0831561589715553
Acinetobacter	age_days_numeric	age_days_numeric	0.237244651025171	0.0804397919982767	255	21	0.00362143287692447	0.0831561589715553
Corynebacterium	collection_season2	winter	1.21374521282937	0.470454776102627	255	225	0.0106555238785578	0.144610681208999
Streptobacillus	collection_season2	winter	-0.645840620153368	0.260169023145977	255	43	0.0140929889193824	0.167354243417666
ASV_35	collection_season2	winter	-0.627995781929051	0.259414869746465	255	48	0.0166516578821299	0.175767499866927
Gemella	collection_season2	winter	-0.485053825596329	0.208909501609285	255	33	0.0215261141784834	0.204498084695592
Haemophilus	age_days_numeric	age_days_numeric	0.374241021540781	0.173255392274022	255	202	0.0321541642056402	0.277695054503256
Prevotella	collection_season2	autumn	0.596604644690597	0.288740523103337	255	37	0.0399240516524177	0.291752685152283
Dolosigranulum	HIV	_unexposed	-1.26863228446088	0.603812508411224	255	196	0.0386821032312471	0.291752685152283
Campylobacter	age_days_numeric	age_days_numeric	0.140757323759468	0.0709801050429955	255	19	0.0489407520382623	0.315611826884028
Gemella	collection_season2	spring	-0.434354580107201	0.222274963364007	255	33	0.0520490628442189	0.315611826884028
Neisseria	collection_season2	autumn	-0.70944576898129	0.365086004938597	255	68	0.0531556761067837	0.315611826884028
Moraxella	HIV	_unexposed	-0.839839504708135	0.434750921558261	255	248	0.0568422947646256	0.31764811780232
Staphylococcus	age_days_numeric	age_days_numeric	-0.254642851533745	0.140542060956594	255	72	0.0717508346981375	0.352714592339869
Fusobacterium	HIV	_unexposed	0.678200724768109	0.372869451413233	255	47	0.0725993914281794	0.352714592339869
Neisseria	HIV	_unexposed	0.708196047716804	0.391758052185469	255	68	0.0742557036504987	0.352714592339869
Dolosigranulum	collection_season2	winter	0.91795476959511	0.540139533684182	255	196	0.0907757076008379	0.410652010575219
Porphyromonas	collection_season2	winter	-0.460951316359691	0.301615453621439	255	62	0.12838495746728	0.469098883053522
Porphyromonas	HIV	_unexposed	0.486486216332114	0.305724102255907	255	62	0.115321752117865	0.469098883053522
Prevotella	HIV	_unexposed	0.463149919752187	0.286199930110207	255	37	0.109379276885657	0.469098883053522
Gemella	HIV	_unexposed	0.322445042933803	0.208919613043457	255	33	0.126509097520049	0.469098883053522
Acinetobacter	HIV	_unexposed	-0.343477085328394	0.22043532404868	255	21	0.122987749322942	0.469098883053522
Moraxella	collection_season2	winter	0.605519689509193	0.408688725479641	255	248	0.140178719668586	0.493221421056134
Corynebacterium	collection_season2	spring	-0.68177003886846	0.48580754942696	255	225	0.161837665188593	0.512485939763877
Campylobacter	collection_season2	winter	-0.29425411943647	0.207349791159737	255	19	0.157841340876478	0.512485939763877
