feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Moraxella	age_days_numeric	age_days_numeric	0.497682357357723	0.125863773926397	255	248	0.000112149414407168	0.0127850332424172
Streptobacillus	age_days_numeric	age_days_numeric	-0.249775040715653	0.0878092230468861	255	43	0.00499078187964978	0.113789826856015
Neisseria	age_days_numeric	age_days_numeric	-0.317039488173862	0.11076858022533	255	68	0.00472718132863678	0.113789826856015
Haemophilus	collection_season2	spring	1.86944288842961	0.618969729382143	255	202	0.0027956145426173	0.113789826856015
Acinetobacter	age_days_numeric	age_days_numeric	0.238724651895839	0.0805005463107957	255	21	0.00344586191500672	0.113789826856015
Corynebacterium	collection_season2	winter	1.2152591903904	0.472681106069484	255	225	0.0109304137134552	0.207677860555649
Streptobacillus	collection_season2	winter	-0.613333545710899	0.261055553663468	255	43	0.0200527580043434	0.326573487499307
Gemella	collection_season2	winter	-0.459720774496274	0.212087337670209	255	33	0.0316911731348243	0.377832101860144
ASV_35	collection_season2	winter	-0.574541523405371	0.267304695101365	255	48	0.0331431668298372	0.377832101860144
Haemophilus	age_days_numeric	age_days_numeric	0.373033260279261	0.173210780458872	255	202	0.0326617187330954	0.377832101860144
Campylobacter	age_days_numeric	age_days_numeric	0.14197706868602	0.0709783337982499	255	19	0.04703018425794	0.44678675045043
Neisseria	collection_season2	autumn	-0.743442847387988	0.368772622894716	255	68	0.0449162672424412	0.44678675045043
Prevotella	collection_season2	autumn	0.55681330945151	0.291129504667942	255	37	0.0570452334799374	0.50024281667022
Gemella	collection_season2	spring	-0.414600892451462	0.224353219755842	255	33	0.0660421008994308	0.537771393038222
Staphylococcus	age_days_numeric	age_days_numeric	-0.253690039203733	0.140509921081426	255	72	0.0727445215946167	0.549466048417778
ASV_22	WAZ12_2	low	-1.26479738650962	0.706407672902159	255	119	0.0771180418831969	0.549466048417778
Veillonella	WAZ12_2	middle	0.346386529471295	0.204070345607405	255	15	0.0934962025919375	0.626974535028287
Dolosigranulum	collection_season2	winter	0.893225506067872	0.546668324411077	255	196	0.103829123172299	0.657584446757892
Campylobacter	collection_season2	winter	-0.323695460758733	0.205790558495067	255	19	0.117792136808659	0.706752820851956
Corynebacterium	collection_season2	spring	-0.703878875838075	0.486266602382119	255	225	0.149105413564073	0.70822247476872
Porphyromonas	collection_season2	winter	-0.426058742550102	0.305675582818518	255	62	0.165264353243931	0.70822247476872
Alloprevotella	WAZ12_2	middle	-0.413037898331735	0.287885354452095	255	39	0.155352804812531	0.70822247476872
Prevotella	age_days_numeric	age_days_numeric	0.126618858175538	0.0930486497059809	255	37	0.175344722723586	0.70822247476872
Prevotella	collection_season2	spring	0.405579484088432	0.298461995523547	255	37	0.175605736892733	0.70822247476872
Dolosigranulum	collection_season2	spring	-0.748723147489754	0.552973748371135	255	196	0.17700050736485	0.70822247476872
Dolosigranulum	WAZ12_2	low	1.17322894367477	0.853443078653241	255	196	0.173063143945642	0.70822247476872
Gemella	age_days_numeric	age_days_numeric	-0.102696557242483	0.0721423075104069	255	33	0.156370186324724	0.70822247476872
ASV_35	WAZ12_2	low	-0.560431189797655	0.371193739743358	255	48	0.135027187091747	0.70822247476872
