feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Moraxella	age_days_numeric	age_days_numeric	0.495397027149925	0.125809088093904	255	248	0.000119405856677039	0.00907484510745496
Streptobacillus	age_days_numeric	age_days_numeric	-0.249119363818063	0.0877672290686002	255	43	0.00508249396713256	0.0772539083004149
Neisseria	age_days_numeric	age_days_numeric	-0.317032148780298	0.110736961640116	255	68	0.00471632249021801	0.0772539083004149
Haemophilus	collection_season2	spring	1.86055369151628	0.61786908380298	255	202	0.00287394408893215	0.0772539083004149
Acinetobacter	age_days_numeric	age_days_numeric	0.238601121670081	0.0804765301807352	255	21	0.00345263864164329	0.0772539083004149
Corynebacterium	collection_season2	winter	1.18634555201698	0.469380490974744	255	225	0.0123209245609604	0.156065044438832
Streptobacillus	collection_season2	winter	-0.626268121219958	0.259630141663567	255	43	0.0169975218501281	0.184544522944249
Gemella	collection_season2	winter	-0.46374010997532	0.209563008533327	255	33	0.0283321400922311	0.242367868044013
ASV_35	collection_season2	winter	-0.578768038938846	0.266533295307272	255	48	0.0313760115518122	0.242367868044013
Haemophilus	age_days_numeric	age_days_numeric	0.374772308529746	0.173232052743357	255	202	0.0318905089531595	0.242367868044013
