feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Moraxella	age_days_numeric	age_days_numeric	0.496830321620859	0.125880510303003	255	248	0.00011534036499161	0.0109573346742029
Streptobacillus	age_days_numeric	age_days_numeric	-0.249691783104864	0.0878238036223245	255	43	0.00501237640588685	0.0952351517118502
Neisseria	age_days_numeric	age_days_numeric	-0.318043116111467	0.110774814864683	255	68	0.00460214892090506	0.0952351517118502
Haemophilus	collection_season2	spring	1.87748623042647	0.620614848962849	255	202	0.00274995077265092	0.0952351517118502
Acinetobacter	age_days_numeric	age_days_numeric	0.23935352518604	0.080499735916403	255	21	0.00336322369587607	0.0952351517118502
Corynebacterium	collection_season2	winter	1.22803480889317	0.472715947319435	255	225	0.0101296018520186	0.160385362656961
Streptobacillus	collection_season2	winter	-0.61368751778218	0.262051296767666	255	43	0.0204248469898088	0.277194352004548
ASV_35	collection_season2	winter	-0.581503785328669	0.269446056206637	255	48	0.0324054158151693	0.342057166937899
Haemophilus	age_days_numeric	age_days_numeric	0.373897999195131	0.173251186779844	255	202	0.0323059586791145	0.342057166937899
Gemella	collection_season2	winter	-0.442311029417381	0.211143014670806	255	33	0.0377713232586417	0.358827570957096
Prevotella	collection_season2	autumn	0.56904699749775	0.290333080783089	255	37	0.0512016822747711	0.374166139700251
Campylobacter	age_days_numeric	age_days_numeric	0.141068589349227	0.070987375497645	255	19	0.0484712668096116	0.374166139700251
Neisseria	collection_season2	autumn	-0.741193554511881	0.3673200477181	255	68	0.0447169986591553	0.374166139700251
Gemella	collection_season2	spring	-0.400647275987529	0.223650284002561	255	33	0.0746971666021422	0.4730820551469
Staphylococcus	age_days_numeric	age_days_numeric	-0.252592575289073	0.14049662205924	255	72	0.0739518834000267	0.4730820551469
Veillonella	daycare_prior_sampling	yes	0.536815291469432	0.308559758388477	255	15	0.0856195277085292	0.508365945769392
Dolosigranulum	collection_season2	winter	0.903846238019954	0.549021248875457	255	196	0.101232658655802	0.565711916017719
Corynebacterium	collection_season2	spring	-0.67983231569915	0.486632701366203	255	225	0.163737705296451	0.709085623126565
Porphyromonas	collection_season2	winter	-0.420247018938473	0.305937011787213	255	62	0.171407528320421	0.709085623126565
Prevotella	collection_season2	spring	0.414886006602412	0.298699692850561	255	37	0.166270030218999	0.709085623126565
Campylobacter	collection_season2	winter	-0.301965247721171	0.208138480832887	255	19	0.148818158508451	0.709085623126565
Gemella	age_days_numeric	age_days_numeric	-0.103595608746777	0.0721440947624118	255	33	0.152807144778501	0.709085623126565
Acinetobacter	collection_season2	autumn	0.325435158873724	0.237314730094713	255	21	0.171673361388537	0.709085623126565
