feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Moraxella	age_days_numeric	age_days_numeric	0.502651381320411	0.125994896671121	255	248	9.79968411734285e-05	0.0111716398937708
Acinetobacter	gestation2	middle	-1.0012436689976	0.272525077309323	255	21	0.000427293005759214	0.0243557013282752
Haemophilus	collection_season2	spring	1.89602226546551	0.6206217065304	255	202	0.00250123036657769	0.0712850654474643
Acinetobacter	age_days_numeric	age_days_numeric	0.248289603764367	0.0804930633645701	255	21	0.00237151268344018	0.0712850654474643
Streptobacillus	age_days_numeric	age_days_numeric	-0.248502482340198	0.0878238430249587	255	43	0.00521953232507285	0.0991711141763842
Neisseria	age_days_numeric	age_days_numeric	-0.318756117461077	0.110820970478614	255	68	0.00453049954917516	0.0991711141763842
Acinetobacter	gestation2	low	-0.904095482448559	0.339065584012298	255	21	0.0092361483529537	0.150417273176675
Corynebacterium	collection_season2	winter	1.16799166381078	0.474805779482805	255	225	0.0148103959653236	0.211048142505862
Streptobacillus	collection_season2	winter	-0.624792610206819	0.261668260932726	255	43	0.0181365941752267	0.229730192886204
Gemella	collection_season2	winter	-0.464297817471467	0.212415526776546	255	33	0.0302967118489599	0.345086869923119
Haemophilus	age_days_numeric	age_days_numeric	0.371917407835582	0.173327134570295	255	202	0.0332978558697747	0.345086869923119
Prevotella	collection_season2	autumn	0.579280806054748	0.288753779763846	255	37	0.0460203538032848	0.349754688904964
Campylobacter	age_days_numeric	age_days_numeric	0.144571194933118	0.0710030765166102	255	19	0.0432599133041944	0.349754688904964
ASV_35	collection_season2	winter	-0.559376624007768	0.26953869344608	255	48	0.0395746564180353	0.349754688904964
Neisseria	collection_season2	autumn	-0.743116472589035	0.368440160298253	255	68	0.044817146644395	0.349754688904964
Gemella	collection_season2	spring	-0.420028331544181	0.22466237076725	255	33	0.0629623837606666	0.448606984294749
Alloprevotella	gestation2	middle	0.586811222072855	0.334056121225529	255	39	0.0828584395083416	0.483165717568565
Alloprevotella	gestation2	low	0.722607154267243	0.415279795491542	255	39	0.085709421972129	0.483165717568565
Campylobacter	gestation2	middle	-0.457951956275458	0.269620175789991	255	19	0.0932425068991968	0.483165717568565
Staphylococcus	age_days_numeric	age_days_numeric	-0.253541546919094	0.140603499856484	255	72	0.0731022474950902	0.483165717568565
Veillonella	gestation2	low	-0.501627723549799	0.294411353566958	255	15	0.092198820179097	0.483165717568565
Moraxella	gestation2	low	-1.25996250367577	0.71216582998671	255	248	0.0806330450390913	0.483165717568565
Campylobacter	collection_season2	winter	-0.332209878711574	0.206490726373098	255	19	0.109684494990444	0.543653583865677
Dolosigranulum	collection_season2	winter	0.851531266804071	0.549067628686623	255	196	0.122487921312902	0.558544921186834
Acinetobacter	collection_season2	autumn	0.359689302495967	0.229343711513616	255	21	0.118298167717219	0.558544921186834
Campylobacter	gestation2	low	-0.508983033004971	0.335258988769926	255	19	0.132817940930655	0.560786861707211
Moraxella	gestation2	middle	-0.876839760229892	0.57321679778563	255	248	0.130033966939865	0.560786861707211
Prevotella	gestation2	middle	0.561894331566528	0.375561978426821	255	37	0.138464980146538	0.563750276310904
Corynebacterium	collection_season2	spring	-0.71654545872825	0.488250487980312	255	225	0.143572454320502	0.56438826870818
Dolosigranulum	collection_season2	spring	-0.780965746055833	0.555238208629807	255	196	0.160842593477712	0.591485666337392
Gemella	age_days_numeric	age_days_numeric	-0.102197930124545	0.0721781831343989	255	33	0.158587284771027	0.591485666337392
Prevotella	collection_season2	spring	0.411518833697133	0.296413684481298	255	37	0.166495568150567	0.593140461536394
Porphyromonas	collection_season2	winter	-0.409866310883706	0.304874653428067	255	62	0.180689358782052	0.62419960306527
Prevotella	age_days_numeric	age_days_numeric	0.123572928839957	0.0931195053190921	255	37	0.186240141639956	0.624452239616322
Fusobacterium	gestation2	middle	0.65024157440505	0.494846433179579	255	47	0.192610119416075	0.627358674669503
Porphyromonas	collection_season2	spring	0.376977076089256	0.320848168861011	255	62	0.241343621780657	0.724030865341972
ASV_22	collection_season2	winter	0.52917953727371	0.449722201834271	255	119	0.240672535765724	0.724030865341972
Moraxella	collection_season2	winter	0.4840145509055	0.411734569167739	255	248	0.241322309055391	0.724030865341972
Veillonella	collection_season2	winter	-0.19476147807623	0.181437538693311	255	15	0.284744066700975	0.832328810356697
Alloprevotella	age_days_numeric	age_days_numeric	-0.0873716247722623	0.0836157214183543	255	39	0.297536705044117	0.837663127451532
ASV_35	age_days_numeric	age_days_numeric	-0.0945799958562811	0.0912211866985292	255	48	0.301264808995726	0.837663127451532
Porphyromonas	gestation2	middle	0.404420667889543	0.404920646133453	255	62	0.320835007497454	0.840604977666799
ASV_63	gestation2	low	0.285655754317585	0.390246949794413	255	19	0.466255843646369	0.840604977666799
Campylobacter	collection_season2	spring	-0.158974221624382	0.218938634812108	255	19	0.468609976586815	0.840604977666799
Dolosigranulum	gestation2	low	-0.727494137133304	1.00660152598724	255	196	0.471918583953291	0.840604977666799
Streptococcus	age_days_numeric	age_days_numeric	-0.0981993120230829	0.127847069295276	255	221	0.443489259002831	0.840604977666799
Streptococcus	collection_season2	winter	0.333032128494791	0.439789711223281	255	221	0.449813521595074	0.840604977666799
Streptococcus	gestation2	low	0.744991586277168	0.788670288957133	255	221	0.347673631199217	0.840604977666799
Staphylococcus	collection_season2	autumn	0.396432289404433	0.469967272625097	255	72	0.399769032291814	0.840604977666799
ASV_35	collection_season2	autumn	-0.239760396161112	0.278098438593335	255	48	0.389527121588777	0.840604977666799
ASV_35	gestation2	low	0.358861449304976	0.440870692514439	255	48	0.418012057243597	0.840604977666799
Veillonella	collection_season2	spring	-0.158782075210969	0.192426134598647	255	15	0.410256301114224	0.840604977666799
Veillonella	collection_season2	autumn	0.181614893731233	0.188187273977328	255	15	0.335553863558199	0.840604977666799
