feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Moraxella	age_days_numeric	age_days_numeric	0.497483283834758	0.125829611671024	255	248	0.000112343512235361	0.0106726336623593
Streptobacillus	age_days_numeric	age_days_numeric	-0.250460819223465	0.0878273919858531	255	43	0.00488395548004329	0.0927951541208225
Neisseria	age_days_numeric	age_days_numeric	-0.316228767261074	0.110764702862421	255	68	0.00483089685436624	0.0927951541208225
Haemophilus	collection_season2	spring	1.86965749967557	0.617505337411609	255	202	0.0027285772905123	0.0927951541208225
Acinetobacter	age_days_numeric	age_days_numeric	0.23923830665926	0.0804845611288935	255	21	0.00337219011404094	0.0927951541208225
Corynebacterium	collection_season2	winter	1.20205710881434	0.472486670732021	255	225	0.0117695552911412	0.186351292109736
Streptobacillus	collection_season2	winter	-0.604209448059176	0.260520575566936	255	43	0.0216674685236146	0.294058501391912
Streptococcus	pets	yes	0.926047832114826	0.438484657287792	255	221	0.0377834651344889	0.326311744343313
Gemella	collection_season2	winter	-0.45239182468063	0.210839193049234	255	33	0.0334268319810917	0.326311744343313
ASV_35	collection_season2	winter	-0.569290678066906	0.268422499187501	255	48	0.0354862552169308	0.326311744343313
Haemophilus	age_days_numeric	age_days_numeric	0.377696109264119	0.17331757493281	255	202	0.0306774316522754	0.326311744343313
Neisseria	collection_season2	autumn	-0.752439760974777	0.367932797291911	255	68	0.041937169875077	0.332002594844359
Campylobacter	age_days_numeric	age_days_numeric	0.141715828868524	0.0709726496176249	255	19	0.0474148661396621	0.346493252559069
Prevotella	collection_season2	autumn	0.555268463107731	0.2900736834836	255	37	0.0568296175468585	0.385629547639397
Gemella	collection_season2	spring	-0.418086051816185	0.223353902559424	255	33	0.0626429810127739	0.396738879747568
Staphylococcus	age_days_numeric	age_days_numeric	-0.257225668128645	0.14060804557253	255	72	0.0690745217621163	0.410129972962566
Dolosigranulum	collection_season2	winter	0.867933532184872	0.548661198922054	255	196	0.11521407043436	0.643843334780247
Corynebacterium	collection_season2	spring	-0.711516029720487	0.486159084160494	255	225	0.144665252139147	0.662606303529018
Porphyromonas	collection_season2	winter	-0.433796021671376	0.305143549460872	255	62	0.157031015599366	0.662606303529018
