feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Moraxella	age_days_numeric	age_days_numeric	0.495777781114196	0.125816719712961	255	248	0.000118131451883001	0.0112224879288851
Streptobacillus	age_days_numeric	age_days_numeric	-0.248245734662821	0.0877381269673467	255	43	0.00522117527231101	0.0992023301739091
Neisseria	age_days_numeric	age_days_numeric	-0.317412187132964	0.110747062661412	255	68	0.00467139279958159	0.0992023301739091
Haemophilus	collection_season2	spring	1.93410437935768	0.622892352604494	255	202	0.00212627981709922	0.0992023301739091
Acinetobacter	age_days_numeric	age_days_numeric	0.238209593469608	0.0805227914147707	255	21	0.00352362108743338	0.0992023301739091
Corynebacterium	collection_season2	winter	1.28242135340816	0.4641053839843	255	225	0.00631695284956285	0.100018420118078
Streptobacillus	collection_season2	winter	-0.656462211068143	0.260250622104707	255	43	0.0126520229786937	0.171706026139415
Gemella	collection_season2	winter	-0.502755049093697	0.207766656995668	255	33	0.0166904473595212	0.198199062394314
Corynebacterium	siblings2	yes	-0.974785351036054	0.417757216631354	255	225	0.0219837286034835	0.231328228705587
ASV_35	collection_season2	winter	-0.607810612322546	0.26734448756241	255	48	0.024350339863746	0.231328228705587
Haemophilus	age_days_numeric	age_days_numeric	0.376791950862638	0.173352326532771	255	202	0.0311071892778945	0.268652998309089
Porphyromonas	siblings2	yes	0.517427889903583	0.258065302022557	255	62	0.0481066326187029	0.31192072001205
Campylobacter	age_days_numeric	age_days_numeric	0.141044738394486	0.0709605190799448	255	19	0.0484237097019003	0.31192072001205
Gemella	siblings2	yes	0.358635382732409	0.176039011571024	255	33	0.0447123685995513	0.31192072001205
Neisseria	collection_season2	autumn	-0.730873610501251	0.369803154184987	255	68	0.0492506400019026	0.31192072001205
Corynebacterium	collection_season2	spring	-0.855071976510851	0.483673490056735	255	225	0.0783977999504771	0.413766166405296
Prevotella	collection_season2	autumn	0.519536155056227	0.29019340870358	255	37	0.0747212424783495	0.413766166405296
Staphylococcus	age_days_numeric	age_days_numeric	-0.255831290410387	0.140597256317139	255	72	0.0705584097790665	0.413766166405296
Dolosigranulum	collection_season2	winter	0.937806133918449	0.545533259842025	255	196	0.0871318919553989	0.413876486788145
ASV_22	siblings2	yes	-0.752669469265788	0.42912783163428	255	119	0.0829865877465309	0.413876486788145
Porphyromonas	collection_season2	winter	-0.486534115311146	0.300519228744157	255	62	0.107413789463384	0.474313430551174
Prevotella	collection_season2	spring	0.479793749035394	0.298845947207894	255	37	0.109841004969746	0.474313430551174
Prevotella	siblings2	yes	0.383125013337325	0.243968744931288	255	37	0.120007737281749	0.478336464083607
Dolosigranulum	collection_season2	spring	-0.853907951217801	0.5559991225717	255	196	0.125878016864107	0.478336464083607
Gemella	collection_season2	spring	-0.346734887923965	0.223072460530613	255	33	0.121635808143268	0.478336464083607
Porphyromonas	collection_season2	spring	0.477197076523273	0.320373823848642	255	62	0.137836076290345	0.484978786947511
Campylobacter	collection_season2	winter	-0.309546692998433	0.207176414457035	255	19	0.137164260064784	0.484978786947511
Dolosigranulum	siblings2	yes	-0.762777113180203	0.518269248525614	255	196	0.144761835085	0.49115622618125
Acinetobacter	collection_season2	autumn	0.34229566478713	0.238680430775737	255	21	0.152963905461118	0.501088655820903
Gemella	age_days_numeric	age_days_numeric	-0.101662794623773	0.0721125118160016	255	33	0.160384726822716	0.507884968271935
Prevotella	age_days_numeric	age_days_numeric	0.127076420327369	0.0929971902281057	255	37	0.173560152172241	0.531877885689125
Moraxella	collection_season2	winter	0.559501016002681	0.415213591365743	255	248	0.179477156893935	0.532822809528871
ASV_22	collection_season2	winter	0.589812333637796	0.447384504095511	255	119	0.188843685343562	0.543640912352678
Streptobacillus	siblings2	yes	0.285798600895748	0.223313510441623	255	43	0.204195927419299	0.570547444259806
ASV_35	siblings2	yes	0.25940666338473	0.228255542516554	255	48	0.258952822110747	0.692335928605891
Streptobacillus	collection_season2	autumn	-0.303289567583836	0.269916916930852	255	43	0.262358878208548	0.692335928605891
Acinetobacter	collection_season2	winter	0.244422365544261	0.226372206818925	255	21	0.281999953354298	0.719472723834282
Moraxella	collection_season2	spring	0.459147941046867	0.430961871520964	255	248	0.287789089533713	0.719472723834282
Corynebacterium	collection_season2	autumn	0.450752259670248	0.46775395109795	255	225	0.336197737051693	0.733880292098851
Alloprevotella	age_days_numeric	age_days_numeric	-0.0817264066518641	0.0835638660996627	255	39	0.329448955251364	0.733880292098851
Campylobacter	siblings2	yes	0.165663447691062	0.176529749343172	255	19	0.350681988972933	0.733880292098851
ASV_35	age_days_numeric	age_days_numeric	-0.0912533223419734	0.0911474063407618	255	48	0.318141832474985	0.733880292098851
ASV_35	collection_season2	autumn	-0.266841549073624	0.278238365805103	255	48	0.338567671354948	0.733880292098851
Veillonella	collection_season2	autumn	0.176760517210795	0.190853182909582	255	15	0.35535256248997	0.733880292098851
Fusobacterium	collection_season2	winter	-0.362128234395677	0.360392122585838	255	47	0.316371174232723	0.733880292098851
Haemophilus	siblings2	yes	0.551765633431729	0.583014195096218	255	202	0.346614037011038	0.733880292098851
Alloprevotella	collection_season2	winter	-0.212789335437008	0.253929746813961	255	39	0.403272329589695	0.749672073257214
Gemella	collection_season2	autumn	-0.179340341888274	0.217425674309608	255	33	0.410346819046054	0.749672073257214
Staphylococcus	collection_season2	autumn	0.40939924382548	0.471397090780094	255	72	0.385993121201896	0.749672073257214
Veillonella	collection_season2	winter	-0.156575561470562	0.183541307948442	255	15	0.394906667897522	0.749672073257214
Haemophilus	collection_season2	autumn	-0.512418184832019	0.600954305121416	255	202	0.394670180360493	0.749672073257214
Moraxella	collection_season2	autumn	0.357557579406214	0.416510775222137	255	248	0.391496636663381	0.749672073257214
Neisseria	collection_season2	spring	-0.307114681995997	0.382813834396137	255	68	0.423207968245463	0.758580320439981
Alloprevotella	collection_season2	autumn	0.201680710707214	0.261393128611805	255	39	0.441169272820688	0.762019653053915
Veillonella	collection_season2	spring	-0.152799984665581	0.196130265692704	255	15	0.436812634173017	0.762019653053915
Streptococcus	age_days_numeric	age_days_numeric	-0.0942980266350717	0.127908594421667	255	221	0.461995619296153	0.772216201427751
Fusobacterium	age_days_numeric	age_days_numeric	-0.082749502888724	0.112580581927574	255	47	0.463329720856651	0.772216201427751
Porphyromonas	collection_season2	autumn	-0.189832895571444	0.311517702454973	255	62	0.542880846077053	0.781419399656364
ASV_63	age_days_numeric	age_days_numeric	-0.0395139139426708	0.0645154635156184	255	19	0.541032560140389	0.781419399656364
ASV_63	siblings2	yes	-0.139710970666245	0.202228144731935	255	19	0.491524092551375	0.781419399656364
Streptococcus	collection_season2	winter	0.283514758472926	0.43952901185779	255	221	0.519659831538729	0.781419399656364
Veillonella	siblings2	yes	-0.102621096823973	0.156901095774608	255	15	0.514840382706412	0.781419399656364
Fusobacterium	collection_season2	spring	0.249841737807569	0.377132566182962	255	47	0.508333880174821	0.781419399656364
Fusobacterium	siblings2	yes	0.228018975260039	0.321478421101456	255	47	0.480120817472178	0.781419399656364
ASV_22	collection_season2	autumn	-0.292571496062189	0.438287222270718	255	119	0.505056026542849	0.781419399656364
Acinetobacter	siblings2	yes	-0.119853876384901	0.189917685167672	255	21	0.529679702394074	0.781419399656364
Alloprevotella	collection_season2	spring	-0.155953923953207	0.269251781888752	255	39	0.563048733094203	0.786612200646313
Streptococcus	siblings2	yes	0.238980691935939	0.410365823438893	255	221	0.561887194232564	0.786612200646313
ASV_22	age_days_numeric	age_days_numeric	-0.0695850821876018	0.12572028726973	255	119	0.580643524459683	0.799436736574926
ASV_63	collection_season2	winter	0.116188619221667	0.218695485343691	255	19	0.595838592242823	0.806862151513554
Dolosigranulum	collection_season2	autumn	0.272813310696406	0.536441533217498	255	196	0.61151657798922	0.806862151513554
