feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Haemophilus	collection_season2	spring	1.84827968692331	0.621220946710869	255	202	0.00322294110589214	0.367415286071705
Corynebacterium	collection_season2	winter	1.20616886261194	0.470529732459394	255	225	0.0111578821850382	0.597625738091369
Streptobacillus	collection_season2	winter	-0.633195006343004	0.259344294366024	255	43	0.0157269931076676	0.597625738091369
Gemella	collection_season2	winter	-0.468394051000635	0.210216473415365	255	33	0.0272809618741028	0.763305683645997
ASV_35	collection_season2	winter	-0.571336774212215	0.266338320401971	255	48	0.0334783194581578	0.763305683645997
Prevotella	collection_season2	autumn	0.543834491160624	0.289396201240435	255	37	0.0614832673039743	0.869423581275033
Gemella	collection_season2	spring	-0.418929357285911	0.223817356059755	255	33	0.0626625455990849	0.869423581275033
Streptobacillus	age_days_numeric	age_days_numeric	-1.04641974052484	0.572042480503803	255	43	0.068638703784871	0.869423581275033
Neisseria	collection_season2	autumn	-0.719587405096277	0.367194856593337	255	68	0.0511881044444609	0.869423581275033
Corynebacterium	collection_season2	spring	-0.686714942301244	0.486658251452268	255	225	0.159558601564971	0.903840913178625
Porphyromonas	collection_season2	winter	-0.434645353604574	0.303956018269494	255	62	0.154625555733292	0.903840913178625
Prevotella	age_days_numeric	age_days_numeric	1.06754145858931	0.610163758340723	255	37	0.081517375156938	0.903840913178625
Prevotella	timepoint_month	M05	-1.15781940780195	0.799228457314119	255	37	0.148814384235598	0.903840913178625
Prevotella	timepoint_month	M06	-2.33164988891083	1.49206101774701	255	37	0.119502012577247	0.903840913178625
Campylobacter	collection_season2	winter	-0.309177474681839	0.205371215881341	255	19	0.134181291067487	0.903840913178625
Dolosigranulum	collection_season2	winter	0.916869848432838	0.544464373548616	255	196	0.0937081352578705	0.903840913178625
Streptobacillus	timepoint_month	M05	1.04787552099485	0.749751390294633	255	43	0.163582261303923	0.903840913178625
Streptobacillus	timepoint_month	M06	1.9724335282944	1.39913346819714	255	43	0.159956255715437	0.903840913178625
Neisseria	age_days_numeric	age_days_numeric	-1.20862734251634	0.743072027292619	255	68	0.105281762160154	0.903840913178625
Neisseria	timepoint_month	M05	1.35262870090263	0.970999394292721	255	68	0.165057140674504	0.903840913178625
Acinetobacter	collection_season2	autumn	0.329881830717324	0.237641141546331	255	21	0.166497010322378	0.903840913178625
Prevotella	collection_season2	spring	0.395815024623771	0.296704133499664	255	37	0.183608747994436	0.910060750928943
Moraxella	collection_season2	winter	0.560299992639794	0.413449477036376	255	248	0.177023298647514	0.910060750928943
Dolosigranulum	collection_season2	spring	-0.689007867095131	0.552339767849366	255	196	0.213436001946917	0.935834777767251
ASV_22	timepoint_month	M05	-1.41939083995737	1.12270889699138	255	119	0.207572951027543	0.935834777767251
ASV_22	timepoint_month	M06	-2.63195681736264	2.10114810320161	255	119	0.211752223812112	0.935834777767251
Porphyromonas	collection_season2	spring	0.378968561964566	0.321499684389215	255	62	0.239814904665941	0.938805619583488
ASV_22	age_days_numeric	age_days_numeric	0.999823335770991	0.860447783161732	255	119	0.24657080632312	0.938805619583488
ASV_22	collection_season2	winter	0.520619150094473	0.448498834183051	255	119	0.247054110416707	0.938805619583488
Neisseria	timepoint_month	M06	2.19820625821518	1.81553291890903	255	68	0.227300395808945	0.938805619583488
