feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Helcococcus	age_days_numeric	age_days_numeric	0.253823389491239	0.0507435236904635	462	60	8.66540831885733e-07	8.83871648523448e-05
Corynebacterium	collection_season2	winter	1.43769817992817	0.300725384805852	462	383	2.37235484806338e-06	0.000120990097251232
Neisseria	collection_season2	winter	-0.974792903466654	0.238533304688475	462	115	5.18578403527972e-05	0.0017631665719951
Corynebacterium	collection_season2	autumn	1.29301647718418	0.335684260303486	462	383	0.000135131712316107	0.00344585866406073
Streptobacillus	collection_season2	winter	-0.611549980731521	0.162436215263541	462	44	0.000188705501268519	0.0038495922258778
Helcococcus	collection_season2	winter	0.55966301948266	0.154392243793647	462	60	0.000324406735056727	0.00551491449596436
ASV_22	age_days_numeric	age_days_numeric	-0.253607999304668	0.0765705867796674	462	154	0.0010142593521906	0.013443787400224
ASV_22	HAZ12_2	low	-3.06647170089225	0.899283434678277	462	154	0.00105441469805678	0.013443787400224
ASV_22	HAZ12_2	middle	-2.92431121991553	0.882060921286748	462	154	0.00141890321520942	0.0160809031057067
Porphyromonas	collection_season2	winter	-0.62095699649653	0.199228792670407	462	79	0.00194411002382394	0.0198299222430042
Helcococcus	collection_season2	spring	0.464956967357925	0.153947766604951	462	60	0.00268189420504696	0.0248684735377082
Neisseria	collection_season2	autumn	-0.807069569993964	0.271982796621269	462	115	0.00316400999083876	0.0268940849221295
Corynebacterium	collection_season2	spring	0.862485055649252	0.301498253319201	462	383	0.00442856962996527	0.0347472386351121
Neisseria	collection_season2	spring	-0.670580833138444	0.241501981037232	462	115	0.00571788875394066	0.0416589037787105
Haemophilus	collection_season2	spring	1.02865326261625	0.389353031148459	462	381	0.00853771524135586	0.0580564636412199
ASV_35	age_days_numeric	age_days_numeric	-0.14018386743266	0.0541930135807409	462	41	0.0100556123993722	0.0641045290459976
Alloprevotella	collection_season2	winter	-0.378886621298935	0.155408706054838	462	45	0.0151699022814083	0.0822777171622254
Streptococcus	collection_season2	winter	-0.709514539510084	0.293805756373265	462	394	0.0161328857180834	0.0822777171622254
Haemophilus	age_days_numeric	age_days_numeric	0.319210911602445	0.131352050743557	462	381	0.0155499758346014	0.0822777171622254
Haemophilus	HAZ12_2	middle	3.12293863894485	1.26187987040605	462	381	0.0156249840513169	0.0822777171622254
Fusobacterium	collection_season2	autumn	-0.571559661781909	0.239205422143181	462	62	0.0172975275087354	0.0840165621852863
Moraxella	collection_season2	autumn	0.553383738641937	0.235966523540838	462	458	0.0194628240353561	0.0902367296184691
Corynebacterium	age_days_numeric	age_days_numeric	-0.235046956356605	0.102043167057686	462	383	0.0217924909037063	0.0966449596599149
Alloprevotella	age_days_numeric	age_days_numeric	0.129252941775243	0.0569791157600048	462	45	0.0238567732408438	0.100352673647578
Fusobacterium	collection_season2	winter	-0.47679607073658	0.212685897741534	462	62	0.0254570245799029	0.100352673647578
Streptobacillus	collection_season2	spring	-0.368064950009129	0.164322634720208	462	44	0.025580093282716	0.100352673647578
Prevotella	age_days_numeric	age_days_numeric	-0.113995411850094	0.0523360870520652	462	30	0.0300042274606214	0.105532110378737
Haemophilus	HAZ12_2	low	2.87024985688795	1.28653521861581	462	381	0.028717337846512	0.105532110378737
Acinetobacter	collection_season2	winter	0.330750817260263	0.151914452493514	462	41	0.0299794161490134	0.105532110378737
ASV_35	collection_season2	winter	-0.314792980704866	0.152686070203468	462	41	0.0398078341459233	0.130728998354356
ASV_35	collection_season2	spring	-0.317953412014051	0.154368281084394	462	41	0.0399949946959961	0.130728998354356
Moraxella	collection_season2	winter	0.429791457802465	0.209733089611048	462	458	0.0410130190915626	0.130728998354356
Streptobacillus	age_days_numeric	age_days_numeric	-0.113424648952527	0.0578270358395448	462	44	0.0505509585890763	0.156248417457145
ASV_35	collection_season2	autumn	-0.333215961529003	0.173580832419909	462	41	0.0555362119380519	0.166608635814156
Porphyromonas	collection_season2	spring	-0.344583704166863	0.200945754256076	462	79	0.087063303602578	0.253727341927513
Dolosigranulum	collection_season2	autumn	0.581752019847309	0.348398017723904	462	381	0.0956769961612611	0.271084822456907
Dolosigranulum	collection_season2	winter	0.49668350061913	0.310123014376824	462	381	0.109946443543434	0.295119401090271
Streptococcus	collection_season2	spring	-0.475838753352335	0.295588161705168	462	394	0.108142349966835	0.295119401090271
Fusobacterium	collection_season2	spring	-0.330001049762666	0.213957012069905	462	62	0.123686830015537	0.323488632348328
Streptobacillus	collection_season2	autumn	-0.27523573240602	0.184894981236715	462	44	0.137294125398302	0.350100019765671
Gemella	collection_season2	winter	-0.173976900413264	0.125340853005318	462	31	0.165847074699547	0.403881143443357
Haemophilus	collection_season2	winter	0.538806708011835	0.388624703299145	462	381	0.166304000241382	0.403881143443357
Alloprevotella	collection_season2	spring	-0.211147581322751	0.15815423833575	462	45	0.182525064839024	0.406679352174523
Streptococcus	collection_season2	autumn	0.440381840535917	0.330504846728974	462	394	0.183404413725765	0.406679352174523
ASV_22	collection_season2	autumn	-0.346619787281325	0.255045795655928	462	154	0.17486841259404	0.406679352174523
Acinetobacter	collection_season2	autumn	0.231922880354051	0.172295565348896	462	41	0.178961848525881	0.406679352174523
Staphylococcus	HAZ12_2	middle	0.60471549475829	0.458054586745196	462	59	0.190878234082506	0.414246380349267
Moraxella	collection_season2	spring	0.270963531282554	0.211020089624336	462	458	0.199779801393243	0.424532077960642
Moraxella	age_days_numeric	age_days_numeric	0.0880728145872955	0.0725738291285753	462	458	0.225662553691672	0.469746540337766
Corynebacterium	HAZ12_2	middle	-1.11614197379866	0.946326721338423	462	383	0.242042476984909	0.484084953969818
Porphyromonas	collection_season2	autumn	-0.264570383577696	0.225348779416024	462	79	0.241005221128336	0.484084953969818
Gemella	collection_season2	autumn	-0.16388757453523	0.144686918360194	462	31	0.257935829557865	0.505951050286581
Staphylococcus	collection_season2	winter	0.220977850837658	0.19798226560855	462	59	0.264959811568606	0.509922656226373
Acinetobacter	HAZ12_2	middle	0.3890486768375	0.380291322555792	462	41	0.30961802505267	0.58483404732171
Acinetobacter	collection_season2	spring	0.152016069649857	0.153417044005124	462	41	0.322277214517829	0.597677743287609
Streptococcus	HAZ12_2	low	0.812350683518722	0.830023638846757	462	394	0.330971248491383	0.60284048832359
Moraxella	HAZ12_2	low	-0.562346615462429	0.591245429592353	462	458	0.344635331652689	0.616715856641654
Helcococcus	HAZ12_2	low	0.655508574787794	0.706225115271767	462	60	0.356324137041211	0.626638999624199
Alloprevotella	collection_season2	autumn	-0.161063772566094	0.179091511620349	462	45	0.36894968153144	0.637845212139101
Prevotella	HAZ12_2	middle	0.372869563825545	0.424242599333791	462	30	0.382285719085975	0.649885722446157
Corynebacterium	HAZ12_2	low	-0.815521595693067	0.964819437133801	462	383	0.400722743606781	0.652428824119875
ASV_35	HAZ12_2	low	-0.319715512308065	0.380097116594357	462	41	0.402970744309334	0.652428824119875
Neisseria	age_days_numeric	age_days_numeric	0.0724083486311499	0.0852716026228922	462	115	0.396327418164423	0.652428824119875
Staphylococcus	collection_season2	autumn	0.186266447513622	0.226356632846495	462	59	0.411005912036266	0.655040672307799
ASV_22	collection_season2	winter	0.183735397114253	0.230360581562697	462	154	0.425540535845122	0.666244980242653
Moraxella	HAZ12_2	middle	-0.459074972882902	0.579904975299979	462	458	0.431099693098187	0.666244980242653
Prevotella	collection_season2	autumn	-0.116917575914693	0.170379651827149	462	30	0.49293901051804	0.68330427043146
Prevotella	HAZ12_2	low	0.292344616679989	0.432538342407085	462	30	0.501213993071835	0.68330427043146
Dolosigranulum	HAZ12_2	middle	-0.663669401327804	0.875975156617669	462	381	0.45108433003209	0.68330427043146
