feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Helcococcus	age_days_numeric	age_days_numeric	0.253823389491239	0.0507435236904635	462	60	8.66540831885733e-07	8.83871648523448e-05
Corynebacterium	collection_season2	winter	1.43769817992817	0.300725384805852	462	383	2.37235484806338e-06	0.000120990097251232
Neisseria	collection_season2	winter	-0.974792903466654	0.238533304688475	462	115	5.18578403527972e-05	0.0017631665719951
Corynebacterium	collection_season2	autumn	1.29301647718418	0.335684260303486	462	383	0.000135131712316107	0.00344585866406073
Streptobacillus	collection_season2	winter	-0.611549980731521	0.162436215263541	462	44	0.000188705501268519	0.0038495922258778
Helcococcus	collection_season2	winter	0.55966301948266	0.154392243793647	462	60	0.000324406735056727	0.00551491449596436
ASV_22	age_days_numeric	age_days_numeric	-0.253607999304668	0.0765705867796674	462	154	0.0010142593521906	0.013443787400224
ASV_22	HAZ12_2	low	-3.06647170089225	0.899283434678277	462	154	0.00105441469805678	0.013443787400224
ASV_22	HAZ12_2	middle	-2.92431121991553	0.882060921286748	462	154	0.00141890321520942	0.0160809031057067
Porphyromonas	collection_season2	winter	-0.62095699649653	0.199228792670407	462	79	0.00194411002382394	0.0198299222430042
Helcococcus	collection_season2	spring	0.464956967357925	0.153947766604951	462	60	0.00268189420504696	0.0248684735377082
Neisseria	collection_season2	autumn	-0.807069569993964	0.271982796621269	462	115	0.00316400999083876	0.0268940849221295
Corynebacterium	collection_season2	spring	0.862485055649252	0.301498253319201	462	383	0.00442856962996527	0.0347472386351121
Neisseria	collection_season2	spring	-0.670580833138444	0.241501981037232	462	115	0.00571788875394066	0.0416589037787105
Haemophilus	collection_season2	spring	1.02865326261625	0.389353031148459	462	381	0.00853771524135586	0.0580564636412199
ASV_35	age_days_numeric	age_days_numeric	-0.14018386743266	0.0541930135807409	462	41	0.0100556123993722	0.0641045290459976
Alloprevotella	collection_season2	winter	-0.378886621298935	0.155408706054838	462	45	0.0151699022814083	0.0822777171622254
Streptococcus	collection_season2	winter	-0.709514539510084	0.293805756373265	462	394	0.0161328857180834	0.0822777171622254
Haemophilus	age_days_numeric	age_days_numeric	0.319210911602445	0.131352050743557	462	381	0.0155499758346014	0.0822777171622254
Haemophilus	HAZ12_2	middle	3.12293863894485	1.26187987040605	462	381	0.0156249840513169	0.0822777171622254
Fusobacterium	collection_season2	autumn	-0.571559661781909	0.239205422143181	462	62	0.0172975275087354	0.0840165621852863
Moraxella	collection_season2	autumn	0.553383738641937	0.235966523540838	462	458	0.0194628240353561	0.0902367296184691
Corynebacterium	age_days_numeric	age_days_numeric	-0.235046956356605	0.102043167057686	462	383	0.0217924909037063	0.0966449596599149
Alloprevotella	age_days_numeric	age_days_numeric	0.129252941775243	0.0569791157600048	462	45	0.0238567732408438	0.100352673647578
Fusobacterium	collection_season2	winter	-0.47679607073658	0.212685897741534	462	62	0.0254570245799029	0.100352673647578
Streptobacillus	collection_season2	spring	-0.368064950009129	0.164322634720208	462	44	0.025580093282716	0.100352673647578
Prevotella	age_days_numeric	age_days_numeric	-0.113995411850094	0.0523360870520652	462	30	0.0300042274606214	0.105532110378737
Haemophilus	HAZ12_2	low	2.87024985688795	1.28653521861581	462	381	0.028717337846512	0.105532110378737
Acinetobacter	collection_season2	winter	0.330750817260263	0.151914452493514	462	41	0.0299794161490134	0.105532110378737
ASV_35	collection_season2	winter	-0.314792980704866	0.152686070203468	462	41	0.0398078341459233	0.130728998354356
ASV_35	collection_season2	spring	-0.317953412014051	0.154368281084394	462	41	0.0399949946959961	0.130728998354356
Moraxella	collection_season2	winter	0.429791457802465	0.209733089611048	462	458	0.0410130190915626	0.130728998354356
Streptobacillus	age_days_numeric	age_days_numeric	-0.113424648952527	0.0578270358395448	462	44	0.0505509585890763	0.156248417457145
ASV_35	collection_season2	autumn	-0.333215961529003	0.173580832419909	462	41	0.0555362119380519	0.166608635814156
