feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Helcococcus	age_days_numeric	age_days_numeric	0.253718718966858	0.0507444251209887	462	60	8.75686758370803e-07	7.44333744615182e-05
Corynebacterium	collection_season2	winter	1.41956492235827	0.300734958817266	462	383	3.15243417525812e-06	0.00013397845244847
Neisseria	collection_season2	winter	-0.992428569067979	0.237807272391153	462	115	3.60709628981901e-05	0.00102201061544872
Corynebacterium	collection_season2	autumn	1.28039138339933	0.335550633605619	462	383	0.000155708607921775	0.00290822541586948
Streptobacillus	collection_season2	winter	-0.613855456890056	0.161964567826191	462	44	0.00017107208328644	0.00290822541586948
Helcococcus	collection_season2	winter	0.563739308306957	0.154391967769434	462	60	0.000293712178371412	0.00416092252692834
ASV_22	age_days_numeric	age_days_numeric	-0.253352076551048	0.0765828118315392	462	154	0.00102803353102273	0.012483264305276
Porphyromonas	collection_season2	winter	-0.617556722728677	0.198813647937572	462	79	0.00201337897348827	0.0213921515933129
Helcococcus	collection_season2	spring	0.465218997094304	0.154025170117924	462	60	0.00268049900513769	0.0253158239374115
Neisseria	collection_season2	autumn	-0.807570241431226	0.271313999788514	462	115	0.00307225626917933	0.0261141782880243
Neisseria	collection_season2	spring	-0.693314194363869	0.241303856888997	462	115	0.00425306493262868	0.0328645926612216
Corynebacterium	collection_season2	spring	0.845952458685264	0.301796948028787	462	383	0.00528572606170484	0.0374405596037426
Haemophilus	collection_season2	spring	1.05730482084832	0.390683026239583	462	381	0.00707080715190642	0.0462322006086189
ASV_35	age_days_numeric	age_days_numeric	-0.140323332655246	0.054184056315966	462	41	0.00996969992413691	0.0605303209679741
Alloprevotella	collection_season2	winter	-0.371377978272494	0.155379865893236	462	45	0.0172670474140236	0.0873422335560228
Streptococcus	collection_season2	winter	-0.694318778324483	0.293700977632999	462	394	0.018496002400099	0.0873422335560228
Fusobacterium	collection_season2	autumn	-0.565109973914177	0.238860841442251	462	62	0.0184216666274668	0.0873422335560228
Haemophilus	age_days_numeric	age_days_numeric	0.319028348955343	0.131360163084568	462	381	0.0156152280468803	0.0873422335560228
Corynebacterium	age_days_numeric	age_days_numeric	-0.234949166514278	0.10203905435234	462	383	0.0218416379056912	0.0904537421498126
Alloprevotella	age_days_numeric	age_days_numeric	0.128683691351452	0.0569782249120481	462	45	0.0244757184640669	0.0904537421498126
Streptobacillus	collection_season2	spring	-0.372748948219184	0.164196958338208	462	44	0.023665404617453	0.0904537421498126
Acinetobacter	collection_season2	winter	0.345384545074778	0.15195194706349	462	41	0.023492863220624	0.0904537421498126
Moraxella	collection_season2	autumn	0.544212950511109	0.235746619455253	462	458	0.0214364749839202	0.0904537421498126
Prevotella	age_days_numeric	age_days_numeric	-0.11415641979112	0.0523363285654965	462	30	0.0297749929400932	0.101234975996317
Fusobacterium	collection_season2	winter	-0.463437894879245	0.212364201357547	462	62	0.0295991094371119	0.101234975996317
ASV_35	collection_season2	winter	-0.309476079055687	0.15195979782109	462	41	0.042276625683791	0.138212045504701
Moraxella	collection_season2	winter	0.421225792752357	0.209581049042852	462	458	0.0450365261850735	0.141781656508565
ASV_35	collection_season2	autumn	-0.340996950934567	0.172966845521394	462	41	0.0492839866560272	0.144453064336631
ASV_35	collection_season2	spring	-0.305310631637761	0.15401178290768	462	41	0.0480360174908226	0.144453064336631
Streptobacillus	age_days_numeric	age_days_numeric	-0.113026772771378	0.0578282731975137	462	44	0.0513664491598854	0.145538272619675
ASV_35	delivery	vaginal	0.310931410508868	0.176662940384234	462	41	0.0824538120866913	0.226083033140928
Porphyromonas	collection_season2	spring	-0.34132440656418	0.200885964587185	462	79	0.0899857496397485	0.239024647480582
Dolosigranulum	collection_season2	autumn	0.573303687163018	0.347749467651746	462	381	0.0999435652387019	0.257430395311808
Streptococcus	collection_season2	spring	-0.47222805941316	0.29585906856094	462	394	0.111162910600544	0.277907276501361
Dolosigranulum	collection_season2	winter	0.472170032412559	0.309442876221471	462	381	0.127736404922181	0.310216983382439
Fusobacterium	collection_season2	spring	-0.320396439142071	0.213954103221469	462	62	0.134963581572025	0.316764738321912
Haemophilus	collection_season2	winter	0.579416392871476	0.389815074015658	462	381	0.137885827269538	0.316764738321912
Streptobacillus	collection_season2	autumn	-0.267214981049329	0.184455164393449	462	44	0.14812575123485	0.32587957894515
ASV_22	collection_season2	autumn	-0.369254066906922	0.255730530602406	462	154	0.149521218574834	0.32587957894515
Gemella	collection_season2	winter	-0.178118142204645	0.125108946217555	462	31	0.155256741817896	0.329920576363029
Streptococcus	collection_season2	autumn	0.45153417304714	0.33025385850506	462	394	0.172251951496455	0.340498043655782
Acinetobacter	collection_season2	autumn	0.23672109043165	0.172216457090808	462	41	0.169958411341242	0.340498043655782
Acinetobacter	delivery	vaginal	0.257188861162834	0.184741550217553	462	41	0.167970793521363	0.340498043655782
Alloprevotella	collection_season2	spring	-0.208555836493049	0.158415961348761	462	45	0.188669095507668	0.364474389048905
