feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Helcococcus	age_days_numeric	age_days_numeric	0.253858247960524	0.0507404269700502	462	60	8.62285793019399e-07	7.32942924066489e-05
Corynebacterium	collection_season2	winter	1.4127107788152	0.300837051776759	462	383	3.53333988485038e-06	0.000150166945106141
Neisseria	collection_season2	winter	-0.97014696384358	0.238383348809802	462	115	5.55998519991453e-05	0.00157532913997578
Corynebacterium	collection_season2	autumn	1.27559797056306	0.335515265177537	462	383	0.000164391595301227	0.00293551113819748
Streptobacillus	collection_season2	winter	-0.614456649520539	0.162227704736952	462	44	0.000172677125776322	0.00293551113819748
Helcococcus	collection_season2	winter	0.552897139527172	0.154152192706401	462	60	0.000374043509918021	0.00529894972383863
ASV_22	age_days_numeric	age_days_numeric	-0.253252380214267	0.0765827038890782	462	154	0.00103267091994957	0.0125395754565305
Porphyromonas	collection_season2	winter	-0.623092975981618	0.199059162476997	462	79	0.00185919439228686	0.0197539404180479
Helcococcus	collection_season2	spring	0.454527270242731	0.153803137921388	462	60	0.00330158034385118	0.0280634329227351
Neisseria	collection_season2	autumn	-0.809450504546325	0.271545448182433	462	115	0.0030295533163025	0.0280634329227351
Corynebacterium	collection_season2	spring	0.840744879328795	0.301795121474246	462	383	0.00556992239028009	0.0385200354858823
Neisseria	collection_season2	spring	-0.668614799963329	0.241657539112155	462	115	0.00589129954489964	0.0385200354858823
Haemophilus	collection_season2	spring	1.08713091759111	0.390180045979287	462	381	0.00556467354448623	0.0385200354858823
ASV_35	age_days_numeric	age_days_numeric	-0.140071055789615	0.0541895281428552	462	41	0.0101105843430443	0.0613856906541974
Haemophilus	age_days_numeric	age_days_numeric	0.318588297349801	0.131348073230738	462	381	0.0157481321323571	0.08923941541669
Corynebacterium	age_days_numeric	age_days_numeric	-0.234968228243111	0.102036631980013	462	383	0.0218278501971546	0.0908899813833752
Alloprevotella	age_days_numeric	age_days_numeric	0.128553570032646	0.0569679630337186	462	45	0.0245937596684427	0.0908899813833752
Alloprevotella	collection_season2	winter	-0.352514063285067	0.154378866974926	462	45	0.0228916625862366	0.0908899813833752
Alloprevotella	edu	secondary_any tertiary	0.31756418342075	0.134180076853135	462	45	0.0205056984351252	0.0908899813833752
Streptococcus	collection_season2	winter	-0.691260871103573	0.293930462842222	462	394	0.0191087763533109	0.0908899813833752
Fusobacterium	collection_season2	autumn	-0.559525965309656	0.238818665901127	462	62	0.0195801103255869	0.0908899813833752
Streptobacillus	collection_season2	spring	-0.371440246581323	0.164337908655727	462	44	0.0242783638275565	0.0908899813833752
Moraxella	collection_season2	autumn	0.54043703577915	0.235658898102015	462	458	0.0223015221616839	0.0908899813833752
Prevotella	age_days_numeric	age_days_numeric	-0.114115831140785	0.0523357208059758	462	30	0.0298309189189839	0.099771410332027
Helcococcus	edu	secondary_any tertiary	-0.606655845313311	0.275392597697672	462	60	0.0306660162186474	0.099771410332027
Fusobacterium	collection_season2	winter	-0.457794099271885	0.212441984888862	462	62	0.0316920950466439	0.099771410332027
Acinetobacter	collection_season2	winter	0.335263086890208	0.152452027464314	462	41	0.0283702124325486	0.099771410332027
ASV_35	collection_season2	winter	-0.313394392952661	0.152582004153668	462	41	0.0405549805147234	0.12311333370541
ASV_35	collection_season2	spring	-0.311141089409677	0.154451629000701	462	41	0.0445451049074414	0.130563238521811
ASV_35	collection_season2	autumn	-0.335184941677312	0.173305895059475	462	41	0.0537332320912647	0.142728897742422
Streptobacillus	age_days_numeric	age_days_numeric	-0.113205218885431	0.057825574052036	462	44	0.0509907064131576	0.142728897742422
Moraxella	collection_season2	winter	0.407659762653667	0.209592098126375	462	458	0.0523881096644069	0.142728897742422
Dolosigranulum	edu	secondary_any tertiary	-0.646802871862565	0.349353210540016	462	381	0.0680425381359892	0.175261083077548
Porphyromonas	collection_season2	spring	-0.347428495184173	0.201007622362403	462	79	0.0845899920926289	0.211474980231572
Dolosigranulum	collection_season2	autumn	0.55652441065793	0.347327816369345	462	381	0.109807270534305	0.258673506256454
Streptococcus	collection_season2	spring	-0.469240165641089	0.295942176640235	462	394	0.113537210119937	0.258673506256454
Haemophilus	collection_season2	winter	0.613739659673724	0.389327960464848	462	381	0.115642273385238	0.258673506256454
Haemophilus	edu	secondary_any tertiary	0.855868596664576	0.523921640646038	462	381	0.106534796325986	0.258673506256454
Dolosigranulum	collection_season2	winter	0.455042544111977	0.309030520814339	462	381	0.141580943925009	0.293521469112824
Fusobacterium	collection_season2	spring	-0.316634426936706	0.213943132517291	462	62	0.139574244603331	0.293521469112824
Streptobacillus	collection_season2	autumn	-0.272413839049107	0.184533869431884	462	44	0.140582743322737	0.293521469112824
ASV_22	collection_season2	autumn	-0.369398644426806	0.255746216290025	462	154	0.14938733769833	0.302331516770429
Gemella	collection_season2	winter	-0.177978829637945	0.125278081365681	462	31	0.156135084207735	0.308639119945522
Acinetobacter	collection_season2	autumn	0.239469148935518	0.172474173105266	462	41	0.165697864197822	0.320098146745793
Streptococcus	collection_season2	autumn	0.45231864015403	0.330276481627682	462	394	0.171538752010837	0.324017642687137
Alloprevotella	collection_season2	spring	-0.191219530961712	0.157534966945351	462	45	0.225449834384954	0.399234081723355
Moraxella	age_days_numeric	age_days_numeric	0.0883711644791976	0.0725754715000439	462	458	0.224108119103408	0.399234081723355
Moraxella	collection_season2	spring	0.257105966234993	0.211092469604804	462	458	0.223869859680169	0.399234081723355
