feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Helcococcus	age_days_numeric	age_days_numeric	0.253858247960524	0.0507404269700502	462	60	8.62285793019399e-07	7.32942924066489e-05
Corynebacterium	collection_season2	winter	1.4127107788152	0.300837051776759	462	383	3.53333988485038e-06	0.000150166945106141
Neisseria	collection_season2	winter	-0.97014696384358	0.238383348809802	462	115	5.55998519991453e-05	0.00157532913997578
Corynebacterium	collection_season2	autumn	1.27559797056306	0.335515265177537	462	383	0.000164391595301227	0.00293551113819748
Streptobacillus	collection_season2	winter	-0.614456649520539	0.162227704736952	462	44	0.000172677125776322	0.00293551113819748
Helcococcus	collection_season2	winter	0.552897139527172	0.154152192706401	462	60	0.000374043509918021	0.00529894972383863
ASV_22	age_days_numeric	age_days_numeric	-0.253252380214267	0.0765827038890782	462	154	0.00103267091994957	0.0125395754565305
Porphyromonas	collection_season2	winter	-0.623092975981618	0.199059162476997	462	79	0.00185919439228686	0.0197539404180479
Helcococcus	collection_season2	spring	0.454527270242731	0.153803137921388	462	60	0.00330158034385118	0.0280634329227351
Neisseria	collection_season2	autumn	-0.809450504546325	0.271545448182433	462	115	0.0030295533163025	0.0280634329227351
Corynebacterium	collection_season2	spring	0.840744879328795	0.301795121474246	462	383	0.00556992239028009	0.0385200354858823
Neisseria	collection_season2	spring	-0.668614799963329	0.241657539112155	462	115	0.00589129954489964	0.0385200354858823
Haemophilus	collection_season2	spring	1.08713091759111	0.390180045979287	462	381	0.00556467354448623	0.0385200354858823
ASV_35	age_days_numeric	age_days_numeric	-0.140071055789615	0.0541895281428552	462	41	0.0101105843430443	0.0613856906541974
Haemophilus	age_days_numeric	age_days_numeric	0.318588297349801	0.131348073230738	462	381	0.0157481321323571	0.08923941541669
Corynebacterium	age_days_numeric	age_days_numeric	-0.234968228243111	0.102036631980013	462	383	0.0218278501971546	0.0908899813833752
Alloprevotella	age_days_numeric	age_days_numeric	0.128553570032646	0.0569679630337186	462	45	0.0245937596684427	0.0908899813833752
Alloprevotella	collection_season2	winter	-0.352514063285067	0.154378866974926	462	45	0.0228916625862366	0.0908899813833752
Alloprevotella	edu	secondary_any tertiary	0.31756418342075	0.134180076853135	462	45	0.0205056984351252	0.0908899813833752
Streptococcus	collection_season2	winter	-0.691260871103573	0.293930462842222	462	394	0.0191087763533109	0.0908899813833752
Fusobacterium	collection_season2	autumn	-0.559525965309656	0.238818665901127	462	62	0.0195801103255869	0.0908899813833752
Streptobacillus	collection_season2	spring	-0.371440246581323	0.164337908655727	462	44	0.0242783638275565	0.0908899813833752
Moraxella	collection_season2	autumn	0.54043703577915	0.235658898102015	462	458	0.0223015221616839	0.0908899813833752
Prevotella	age_days_numeric	age_days_numeric	-0.114115831140785	0.0523357208059758	462	30	0.0298309189189839	0.099771410332027
Helcococcus	edu	secondary_any tertiary	-0.606655845313311	0.275392597697672	462	60	0.0306660162186474	0.099771410332027
Fusobacterium	collection_season2	winter	-0.457794099271885	0.212441984888862	462	62	0.0316920950466439	0.099771410332027
Acinetobacter	collection_season2	winter	0.335263086890208	0.152452027464314	462	41	0.0283702124325486	0.099771410332027
ASV_35	collection_season2	winter	-0.313394392952661	0.152582004153668	462	41	0.0405549805147234	0.12311333370541
ASV_35	collection_season2	spring	-0.311141089409677	0.154451629000701	462	41	0.0445451049074414	0.130563238521811
ASV_35	collection_season2	autumn	-0.335184941677312	0.173305895059475	462	41	0.0537332320912647	0.142728897742422
Streptobacillus	age_days_numeric	age_days_numeric	-0.113205218885431	0.057825574052036	462	44	0.0509907064131576	0.142728897742422
Moraxella	collection_season2	winter	0.407659762653667	0.209592098126375	462	458	0.0523881096644069	0.142728897742422
Dolosigranulum	edu	secondary_any tertiary	-0.646802871862565	0.349353210540016	462	381	0.0680425381359892	0.175261083077548
Porphyromonas	collection_season2	spring	-0.347428495184173	0.201007622362403	462	79	0.0845899920926289	0.211474980231572
