feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Helcococcus	age_days_numeric	age_days_numeric	0.257080321841105	0.0513534774243267	462	60	8.48490486493323e-07	7.21216913519324e-05
Corynebacterium	collection_season2	winter	1.39732551145736	0.302515969828015	462	383	5.04436491763943e-06	0.000214385508999676
Prevotella	first_INH_upto_100days_post	yes	1.31761861838507	0.313517162978508	462	30	3.20812543324226e-05	0.000908968872751974
Neisseria	collection_season2	winter	-0.962957815417492	0.239550025281115	462	115	6.82637181113006e-05	0.00145060400986514
Corynebacterium	collection_season2	autumn	1.23499369649247	0.340256799855283	462	383	0.000317731608292229	0.00406797903305097
Helcococcus	collection_season2	winter	0.571873967574107	0.155408117157147	462	60	0.000263726859954816	0.00406797903305097
Streptobacillus	collection_season2	winter	-0.588952871161905	0.162949019704345	462	44	0.000335010038015962	0.00406797903305097
ASV_22	age_days_numeric	age_days_numeric	-0.263050766342172	0.0775333956642443	462	154	0.000764126976526989	0.00811884912559926
Helcococcus	collection_season2	spring	0.474850509023006	0.155480164861796	462	60	0.00240361205200154	0.0227007804911256
Porphyromonas	collection_season2	winter	-0.593843230409351	0.199744530774358	462	79	0.00310527712426117	0.0263948555562199
Neisseria	collection_season2	autumn	-0.790539205643628	0.274232020858416	462	115	0.00412983252741382	0.0319123422572886
Corynebacterium	collection_season2	spring	0.819267137581222	0.30481578170261	462	383	0.007467231972138	0.0461026924262988
Alloprevotella	collection_season2	winter	-0.417954212564315	0.155692499512287	462	45	0.0075412472355878	0.0461026924262988
Neisseria	collection_season2	spring	-0.655143973420874	0.244312508904498	462	115	0.0075933846349198	0.0461026924262988
Haemophilus	collection_season2	spring	1.04507656363253	0.394494680639046	462	381	0.00836426131872764	0.0473974808061233
Corynebacterium	age_days_numeric	age_days_numeric	-0.245913505500991	0.103106567765017	462	383	0.017560403285044	0.0893274010246108
Streptococcus	collection_season2	winter	-0.696042685736803	0.295485429708162	462	394	0.0189163908052117	0.0893274010246108
Haemophilus	age_days_numeric	age_days_numeric	0.313828937286784	0.132683193030964	462	381	0.0185141435081466	0.0893274010246108
ASV_35	age_days_numeric	age_days_numeric	-0.126740442797459	0.054651051701025	462	41	0.0209097530498692	0.0929024588596632
Acinetobacter	collection_season2	winter	0.352162568550069	0.153067322913618	462	41	0.0218594020846266	0.0929024588596632
Fusobacterium	collection_season2	autumn	-0.54911066925732	0.2419156200977	462	62	0.0236961751528576	0.0959130899044236
Fusobacterium	collection_season2	winter	-0.459964187464309	0.213707508730712	462	62	0.0318978913718056	0.11942430178912
Moraxella	collection_season2	autumn	0.512335145165652	0.238601489033478	462	458	0.03231481107235	0.11942430178912
Alloprevotella	first_INH_upto_100days_post	yes	-0.648403311458575	0.314423349041178	462	45	0.0399505361745965	0.139498409396211
Streptobacillus	collection_season2	spring	-0.340275668113367	0.166064757264675	462	44	0.0410289439400621	0.139498409396211
Alloprevotella	age_days_numeric	age_days_numeric	0.11535653096965	0.0571623089025644	462	45	0.0442716535901073	0.144734252121505
ASV_35	first_INH_upto_100days_post	yes	0.617905854967204	0.313227409823124	462	41	0.0492543115123436	0.155059869575896
ASV_35	collection_season2	winter	-0.286796453661554	0.152685263517254	462	41	0.0609782970365088	0.178729491313905
Moraxella	collection_season2	winter	0.397558482824572	0.210713574363961	462	458	0.059832934437099	0.178729491313905
Streptobacillus	age_days_numeric	age_days_numeric	-0.106826285830389	0.0582544668460624	462	44	0.067452703211587	0.19111599243283
ASV_35	collection_season2	spring	-0.272212618491303	0.155650365934687	462	41	0.0809862299268795	0.222059017541444
Alloprevotella	collection_season2	spring	-0.271371740923793	0.159710027575401	462	45	0.089974894727722	0.238995814120512
Prevotella	age_days_numeric	age_days_numeric	-0.0855954231998933	0.0518514241759067	462	30	0.0995943487377864	0.245837941821191
Staphylococcus	first_INH_upto_100days_post	yes	-0.668606639689366	0.406938588193165	462	59	0.101227387808726	0.245837941821191
ASV_35	collection_season2	autumn	-0.287854421464966	0.174672822614369	462	41	0.100053927376701	0.245837941821191
