feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Corynebacterium	collection_season2	winter	1.4637149057261	0.300443869040116	462	383	1.53251493923819e-06	6.51318849176229e-05
Helcococcus	age_days_numeric	age_days_numeric	0.250806269583757	0.050706916930202	462	60	1.13685462275327e-06	6.51318849176229e-05
Neisseria	collection_season2	winter	-0.999762284568994	0.23575871594523	462	115	2.70772755821956e-05	0.000767189474828874
Corynebacterium	collection_season2	autumn	1.31642309463657	0.335701201561303	462	383	0.000102383058492339	0.0021756399929622
Helcococcus	collection_season2	winter	0.585751215848848	0.154880935075326	462	60	0.000177935159896071	0.0030248977182332
Streptobacillus	collection_season2	winter	-0.601778312238083	0.161811076641153	462	44	0.000225289745396764	0.00319160472645416
ASV_22	age_days_numeric	age_days_numeric	-0.259587036538818	0.0763091672084002	462	154	0.000740322691193955	0.00898963267878373
Porphyromonas	collection_season2	winter	-0.645257235310813	0.197170081625879	462	79	0.00114682110221417	0.0108310881875782
Fusobacterium	first_antibiotics_upto_100days_post	yes	0.806181602443419	0.244433423301116	462	62	0.00105494899814241	0.0108310881875782
Helcococcus	collection_season2	spring	0.489113133990461	0.154649491113019	462	60	0.00167680718218409	0.0129571464077861
Neisseria	collection_season2	autumn	-0.852365611408364	0.269049060612629	462	115	0.00163887241966156	0.0129571464077861
Neisseria	first_antibiotics_upto_100days_post	yes	0.812957468889634	0.267854551142695	462	115	0.00257489274399082	0.0182388236032683
Corynebacterium	collection_season2	spring	0.900619807028794	0.301759299320931	462	383	0.00299617958972489	0.0195904050097397
Neisseria	collection_season2	spring	-0.702506553256989	0.239014318501872	462	115	0.00345788190892238	0.0209942830184573
Porphyromonas	first_antibiotics_upto_100days_post	yes	0.630900634167607	0.226627046605838	462	79	0.00562700585226736	0.0318863664961817
Dolosigranulum	first_antibiotics_upto_100days_post	yes	-0.986679666343547	0.3573371079904	462	381	0.00600968049448406	0.0319264276269466
Haemophilus	collection_season2	spring	1.06683862106036	0.391956187580549	462	381	0.00674979422581824	0.0337489711290912
Fusobacterium	collection_season2	autumn	-0.612298722117712	0.236266628660435	462	62	0.0098724695738455	0.046619995209826
ASV_35	age_days_numeric	age_days_numeric	-0.139580931980693	0.0542795586622357	462	41	0.0105012281485608	0.0469791785593509
Alloprevotella	collection_season2	winter	-0.381154581824072	0.154857708128712	462	45	0.0142301144390251	0.0604779863658566
Fusobacterium	collection_season2	winter	-0.506967617910332	0.210060135733702	462	62	0.0161962421250054	0.0625763900284299
Haemophilus	age_days_numeric	age_days_numeric	0.317947694471587	0.131557352726172	462	381	0.0161259653035708	0.0625763900284299
Corynebacterium	age_days_numeric	age_days_numeric	-0.242663310949191	0.102092952308498	462	383	0.0179522159402522	0.0642149651657717
Moraxella	collection_season2	autumn	0.55962816490586	0.235953741221829	462	458	0.0181312842821002	0.0642149651657717
Alloprevotella	age_days_numeric	age_days_numeric	0.132065549494491	0.0568338634196051	462	45	0.020661643097468	0.067547679357107
Streptococcus	collection_season2	winter	-0.682063087226866	0.293687154319213	462	394	0.0206501884668568	0.067547679357107
Prevotella	first_antibiotics_upto_100days_post	yes	0.394719029957826	0.174737395246384	462	30	0.0244029649798803	0.0768241490107344
Acinetobacter	collection_season2	winter	0.338443259669213	0.152193110283358	462	41	0.0266545838847475	0.0809157010786977
Streptobacillus	collection_season2	spring	-0.358261098185755	0.164030856473994	462	44	0.0294631110454771	0.0863573944436398
ASV_35	collection_season2	winter	-0.323182985187584	0.152431756720112	462	41	0.0345358843553348	0.0978516723401152
Prevotella	age_days_numeric	age_days_numeric	-0.109731869416039	0.0523472079130623	462	30	0.0367180785718075	0.100678602535601
ASV_35	collection_season2	spring	-0.320813336349004	0.154397877082615	462	41	0.0382834704739982	0.101690468446558
Moraxella	collection_season2	winter	0.431426519679216	0.209386578081193	462	458	0.0399241359089059	0.102834895522939
ASV_22	first_antibiotics_upto_100days_post	yes	-0.564240823957308	0.278813412251611	462	154	0.0435846330683368	0.108961582670842
Streptobacillus	age_days_numeric	age_days_numeric	-0.115207596295718	0.0578607402789921	462	44	0.0471778034309187	0.114574665475088
ASV_35	collection_season2	autumn	-0.33966273340276	0.1736239177041	462	41	0.0510468453889851	0.120527273835104
Porphyromonas	collection_season2	spring	-0.374493585263953	0.199224514456764	462	79	0.0607796527799221	0.139628932061983
Corynebacterium	first_antibiotics_upto_100days_post	yes	-0.658438935304129	0.35372105209866	462	383	0.0633379290127167	0.141676946475814
Dolosigranulum	collection_season2	autumn	0.624268404270383	0.346195498112004	462	381	0.0720364740552681	0.157002571658918
Dolosigranulum	collection_season2	winter	0.534145615765097	0.307535651754251	462	381	0.0830877974327784	0.172255189799662
Fusobacterium	collection_season2	spring	-0.368741924929877	0.211566478740204	462	62	0.0820295292802181	0.172255189799662
Alloprevotella	first_antibiotics_upto_100days_post	yes	0.29351984638327	0.17316965079678	462	45	0.0910168469664546	0.184200761717825
Streptococcus	collection_season2	spring	-0.45789692265811	0.295903437608231	462	394	0.122453506881629	0.242059257789267
Haemophilus	collection_season2	winter	0.588583023722587	0.390863555963911	462	381	0.132811109331134	0.256566915753328
Gemella	first_antibiotics_upto_100days_post	yes	0.206688086507134	0.138557366965447	462	31	0.136763568211785	0.258331184400038
Alloprevotella	collection_season2	spring	-0.221682429064911	0.157805418814756	462	45	0.160771554072358	0.273311641923008
Streptococcus	collection_season2	autumn	0.466098144246085	0.330611650269556	462	394	0.159303827036967	0.273311641923008
Gemella	collection_season2	winter	-0.180020514574225	0.124539809353298	462	31	0.149053073946659	0.273311641923008
Streptobacillus	collection_season2	autumn	-0.2606410650527	0.184624690575982	462	44	0.158718195223977	0.273311641923008
Acinetobacter	collection_season2	autumn	0.244703869033594	0.172639658152775	462	41	0.157055233280915	0.273311641923008
Helcococcus	first_antibiotics_upto_100days_post	yes	-0.259531446961127	0.187711114743512	462	60	0.167473191388884	0.27912198564814
Porphyromonas	collection_season2	autumn	-0.298787353975703	0.223390115032784	462	79	0.181736621298651	0.29146439264878
Moraxella	collection_season2	spring	0.28324572940282	0.211060740167682	462	458	0.180265018933723	0.29146439264878
ASV_22	collection_season2	autumn	-0.328196550023693	0.255388693932752	462	154	0.199481946342464	0.313999359983509
Gemella	collection_season2	autumn	-0.175891072580619	0.144151705779321	462	31	0.22302778759743	0.344679308105119
Moraxella	first_antibiotics_upto_100days_post	yes	-0.289737728597831	0.242859762872095	462	458	0.23353446631105	0.354471957793558
Staphylococcus	collection_season2	winter	0.232268361578559	0.198207302228738	462	59	0.241884364210196	0.35514514129183
Moraxella	age_days_numeric	age_days_numeric	0.0850600051794241	0.0726399199563807	462	458	0.242334331705014	0.35514514129183
Acinetobacter	collection_season2	spring	0.16491255372771	0.153863050108759	462	41	0.284371109977214	0.409687192340055
Alloprevotella	collection_season2	autumn	-0.175832890547179	0.178601681056444	462	45	0.32539435690271	0.456176439001376
Streptobacillus	first_antibiotics_upto_100days_post	yes	-0.180347490419429	0.1838941960921	462	44	0.327373679753929	0.456176439001376
Neisseria	age_days_numeric	age_days_numeric	0.0809583263587133	0.0843418189841539	462	115	0.337719256041551	0.463002205863416
Staphylococcus	collection_season2	autumn	0.202720681956406	0.22678858470892	462	59	0.371864312456138	0.501721691409076
Helcococcus	collection_season2	autumn	0.147709482894262	0.170426448562298	462	60	0.386613003315865	0.505570850489977
ASV_22	collection_season2	winter	0.203026484927473	0.231400829723212	462	154	0.380768294235062	0.505570850489977
Prevotella	collection_season2	autumn	-0.133270022405306	0.169944246594745	462	30	0.433344125198395	0.558094706694903
Streptococcus	first_antibiotics_upto_100days_post	yes	-0.259261721628732	0.341236204746993	462	394	0.447815183192781	0.568123739871438
Gemella	collection_season2	spring	-0.0769086350394544	0.127140105448165	462	31	0.545541669554437	0.653113266367987
Haemophilus	collection_season2	autumn	-0.265601903115209	0.435025480427201	462	381	0.541827403605796	0.653113266367987
Acinetobacter	age_days_numeric	age_days_numeric	0.0325677608657799	0.0536546081948368	462	41	0.54421732755599	0.653113266367987
Acinetobacter	first_antibiotics_upto_100days_post	yes	-0.105718766005983	0.174585715793743	462	41	0.545168006228612	0.653113266367987
Prevotella	collection_season2	winter	0.0889534951988469	0.150751804238326	462	30	0.555438765339846	0.655726320192874
Fusobacterium	age_days_numeric	age_days_numeric	-0.0348470804027842	0.0725391654120534	462	62	0.631225109807967	0.734988141557221
Gemella	age_days_numeric	age_days_numeric	0.0188959374460096	0.0461034236293453	462	31	0.682137366196235	0.783536163874054
Staphylococcus	collection_season2	spring	-0.0722898890471388	0.201195363024734	462	59	0.719535697724344	0.815473790754257
Porphyromonas	age_days_numeric	age_days_numeric	-0.023743854124559	0.06930760224781	462	79	0.732097301240049	0.815886032245235
ASV_22	collection_season2	spring	0.0770861731096618	0.231304359966601	462	154	0.739096758622154	0.815886032245235
Dolosigranulum	age_days_numeric	age_days_numeric	-0.0262675180694167	0.106419144828184	462	381	0.805171495952306	0.858353063068259
