feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Corynebacterium	collection_season2	winter	1.4637149057261	0.300443869040116	462	383	1.53251493923819e-06	6.51318849176229e-05
Helcococcus	age_days_numeric	age_days_numeric	0.250806269583757	0.050706916930202	462	60	1.13685462275327e-06	6.51318849176229e-05
Neisseria	collection_season2	winter	-0.999762284568994	0.23575871594523	462	115	2.70772755821956e-05	0.000767189474828874
Corynebacterium	collection_season2	autumn	1.31642309463657	0.335701201561303	462	383	0.000102383058492339	0.0021756399929622
Helcococcus	collection_season2	winter	0.585751215848848	0.154880935075326	462	60	0.000177935159896071	0.0030248977182332
Streptobacillus	collection_season2	winter	-0.601778312238083	0.161811076641153	462	44	0.000225289745396764	0.00319160472645416
ASV_22	age_days_numeric	age_days_numeric	-0.259587036538818	0.0763091672084002	462	154	0.000740322691193955	0.00898963267878373
Porphyromonas	collection_season2	winter	-0.645257235310813	0.197170081625879	462	79	0.00114682110221417	0.0108310881875782
Fusobacterium	first_antibiotics_upto_100days_post	yes	0.806181602443419	0.244433423301116	462	62	0.00105494899814241	0.0108310881875782
Helcococcus	collection_season2	spring	0.489113133990461	0.154649491113019	462	60	0.00167680718218409	0.0129571464077861
Neisseria	collection_season2	autumn	-0.852365611408364	0.269049060612629	462	115	0.00163887241966156	0.0129571464077861
Neisseria	first_antibiotics_upto_100days_post	yes	0.812957468889634	0.267854551142695	462	115	0.00257489274399082	0.0182388236032683
Corynebacterium	collection_season2	spring	0.900619807028794	0.301759299320931	462	383	0.00299617958972489	0.0195904050097397
Neisseria	collection_season2	spring	-0.702506553256989	0.239014318501872	462	115	0.00345788190892238	0.0209942830184573
Porphyromonas	first_antibiotics_upto_100days_post	yes	0.630900634167607	0.226627046605838	462	79	0.00562700585226736	0.0318863664961817
Dolosigranulum	first_antibiotics_upto_100days_post	yes	-0.986679666343547	0.3573371079904	462	381	0.00600968049448406	0.0319264276269466
Haemophilus	collection_season2	spring	1.06683862106036	0.391956187580549	462	381	0.00674979422581824	0.0337489711290912
Fusobacterium	collection_season2	autumn	-0.612298722117712	0.236266628660435	462	62	0.0098724695738455	0.046619995209826
ASV_35	age_days_numeric	age_days_numeric	-0.139580931980693	0.0542795586622357	462	41	0.0105012281485608	0.0469791785593509
Alloprevotella	collection_season2	winter	-0.381154581824072	0.154857708128712	462	45	0.0142301144390251	0.0604779863658566
Fusobacterium	collection_season2	winter	-0.506967617910332	0.210060135733702	462	62	0.0161962421250054	0.0625763900284299
Haemophilus	age_days_numeric	age_days_numeric	0.317947694471587	0.131557352726172	462	381	0.0161259653035708	0.0625763900284299
Corynebacterium	age_days_numeric	age_days_numeric	-0.242663310949191	0.102092952308498	462	383	0.0179522159402522	0.0642149651657717
Moraxella	collection_season2	autumn	0.55962816490586	0.235953741221829	462	458	0.0181312842821002	0.0642149651657717
Alloprevotella	age_days_numeric	age_days_numeric	0.132065549494491	0.0568338634196051	462	45	0.020661643097468	0.067547679357107
Streptococcus	collection_season2	winter	-0.682063087226866	0.293687154319213	462	394	0.0206501884668568	0.067547679357107
Prevotella	first_antibiotics_upto_100days_post	yes	0.394719029957826	0.174737395246384	462	30	0.0244029649798803	0.0768241490107344
Acinetobacter	collection_season2	winter	0.338443259669213	0.152193110283358	462	41	0.0266545838847475	0.0809157010786977
Streptobacillus	collection_season2	spring	-0.358261098185755	0.164030856473994	462	44	0.0294631110454771	0.0863573944436398
ASV_35	collection_season2	winter	-0.323182985187584	0.152431756720112	462	41	0.0345358843553348	0.0978516723401152
Prevotella	age_days_numeric	age_days_numeric	-0.109731869416039	0.0523472079130623	462	30	0.0367180785718075	0.100678602535601
ASV_35	collection_season2	spring	-0.320813336349004	0.154397877082615	462	41	0.0382834704739982	0.101690468446558
Moraxella	collection_season2	winter	0.431426519679216	0.209386578081193	462	458	0.0399241359089059	0.102834895522939
ASV_22	first_antibiotics_upto_100days_post	yes	-0.564240823957308	0.278813412251611	462	154	0.0435846330683368	0.108961582670842
Streptobacillus	age_days_numeric	age_days_numeric	-0.115207596295718	0.0578607402789921	462	44	0.0471778034309187	0.114574665475088
ASV_35	collection_season2	autumn	-0.33966273340276	0.1736239177041	462	41	0.0510468453889851	0.120527273835104
Porphyromonas	collection_season2	spring	-0.374493585263953	0.199224514456764	462	79	0.0607796527799221	0.139628932061983
Corynebacterium	first_antibiotics_upto_100days_post	yes	-0.658438935304129	0.35372105209866	462	383	0.0633379290127167	0.141676946475814
Dolosigranulum	collection_season2	autumn	0.624268404270383	0.346195498112004	462	381	0.0720364740552681	0.157002571658918
Dolosigranulum	collection_season2	winter	0.534145615765097	0.307535651754251	462	381	0.0830877974327784	0.172255189799662
Fusobacterium	collection_season2	spring	-0.368741924929877	0.211566478740204	462	62	0.0820295292802181	0.172255189799662
Alloprevotella	first_antibiotics_upto_100days_post	yes	0.29351984638327	0.17316965079678	462	45	0.0910168469664546	0.184200761717825
Streptococcus	collection_season2	spring	-0.45789692265811	0.295903437608231	462	394	0.122453506881629	0.242059257789267
