feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Helcococcus	age_days_numeric	age_days_numeric	0.253501095826183	0.0507442790324004	462	60	8.94082360893339e-07	9.11964008111206e-05
Corynebacterium	collection_season2	winter	1.39737915812318	0.301392292038952	462	383	4.66058813883322e-06	0.000237689995080494
Neisseria	collection_season2	winter	-1.00345077420233	0.238273507223245	462	115	3.06972759983966e-05	0.00104370738394549
Corynebacterium	collection_season2	autumn	1.23933654592018	0.336718695403122	462	383	0.000262561509639277	0.00535625479664125
Streptobacillus	collection_season2	winter	-0.60303029498746	0.162862852638229	462	44	0.000239723502178144	0.00535625479664125
Helcococcus	collection_season2	winter	0.552803096567481	0.154568645210873	462	60	0.000388906373403352	0.00661140834785699
ASV_22	age_days_numeric	age_days_numeric	-0.254046702210862	0.0765874891360264	462	154	0.000996863471612114	0.0145257248720622
Porphyromonas	collection_season2	winter	-0.607890041492093	0.199729916122716	462	79	0.00247344788019412	0.0310315067969765
Helcococcus	collection_season2	spring	0.462804948299746	0.153999308696484	462	60	0.00281477507172329	0.0310315067969765
Neisseria	collection_season2	autumn	-0.81186331408598	0.272596990723526	462	115	0.00305602659716027	0.0310315067969765
Neisseria	collection_season2	spring	-0.710052341381302	0.240732760516642	462	115	0.00334653504673276	0.0310315067969765
Corynebacterium	collection_season2	spring	0.859364410029076	0.301677285049747	462	383	0.00459662160661921	0.0390712836562633
Haemophilus	collection_season2	spring	1.0591614914388	0.390762136109006	462	381	0.00698354408819273	0.0547939613073583
ASV_35	age_days_numeric	age_days_numeric	-0.139496586343721	0.05419810646024	462	41	0.0104323966004814	0.0760074609463647
Staphylococcus	income2	middle	0.747595627212489	0.294323351441246	462	59	0.0131948874893156	0.0841174077443867
Moraxella	collection_season2	autumn	0.58956789025323	0.23643488736778	462	458	0.0130151058950283	0.0841174077443867
Haemophilus	age_days_numeric	age_days_numeric	0.319783059549293	0.131375205474511	462	381	0.0153851749351744	0.0923110496110465
Streptococcus	collection_season2	winter	-0.699553740834666	0.294980695404305	462	394	0.0181313689501967	0.102744424051115
