feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Helcococcus	age_days_numeric	age_days_numeric	0.25369978137549	0.0507442307768432	462	60	8.77192452524844e-07	7.45613584646118e-05
Corynebacterium	collection_season2	winter	1.41557234747289	0.30024179980161	462	383	3.23351599345281e-06	0.000137424429721745
Neisseria	collection_season2	winter	-0.980898904493558	0.238005201773772	462	115	4.48614648645821e-05	0.00127107483782983
Corynebacterium	collection_season2	autumn	1.27300033954711	0.335319396561271	462	383	0.000167945608798871	0.00336046837510382
Streptobacillus	collection_season2	winter	-0.608031834843214	0.16201890987415	462	44	0.000197674610300225	0.00336046837510382
Helcococcus	collection_season2	winter	0.564912249058247	0.154342375283474	462	60	0.000284108681606359	0.00402487298942342
ASV_22	age_days_numeric	age_days_numeric	-0.253332912198069	0.0765816064360101	462	154	0.00102873580408793	0.0124917919067819
Porphyromonas	collection_season2	winter	-0.622775699301379	0.198732405593786	462	79	0.00183737590412058	0.0195221189812812
Helcococcus	collection_season2	spring	0.465860085651204	0.15394398515344	462	60	0.00263084106598147	0.0245429459246112
Neisseria	collection_season2	autumn	-0.813600850206693	0.271572831782909	462	115	0.00288740540289543	0.0245429459246112
Corynebacterium	collection_season2	spring	0.848440476355279	0.301242397275353	462	383	0.00507300378347295	0.0365824035998828
Neisseria	collection_season2	spring	-0.677983374512831	0.241260475626767	462	115	0.00516457462586581	0.0365824035998828
Haemophilus	collection_season2	spring	1.06481004497608	0.390054576274187	462	381	0.00659118853015966	0.0430962326971978
ASV_35	age_days_numeric	age_days_numeric	-0.139909380901425	0.0541916391645709	462	41	0.0101998322551463	0.061927552977674
Alloprevotella	collection_season2	winter	-0.379216998064824	0.155407223141109	462	45	0.015079290300199	0.0833678799509975
Haemophilus	age_days_numeric	age_days_numeric	0.318776426656665	0.131355229721495	462	381	0.0156927774025407	0.0833678799509975
Streptococcus	collection_season2	winter	-0.698376342428246	0.293453418540849	462	394	0.0177301414701597	0.0875417187339033
Fusobacterium	collection_season2	autumn	-0.564664172243165	0.238911214549473	462	62	0.0185382463201207	0.0875417187339033
Corynebacterium	age_days_numeric	age_days_numeric	-0.235078069011889	0.102040184634757	462	383	0.0217712938998675	0.092527999074437
Moraxella	collection_season2	autumn	0.546763174806004	0.235593133617605	462	458	0.0207541944657256	0.092527999074437
Alloprevotella	age_days_numeric	age_days_numeric	0.128941601278611	0.0569801114597721	462	45	0.0241972793144533	0.0979413686537395
Fusobacterium	collection_season2	winter	-0.470440368308524	0.212298256014271	462	62	0.0271890461682708	0.100262965503287
Streptobacillus	collection_season2	spring	-0.364888131727572	0.164108974087627	462	44	0.0266747592606718	0.100262965503287
Acinetobacter	collection_season2	winter	0.334833240441038	0.152197544827573	462	41	0.0283095432009282	0.100262965503287
Prevotella	age_days_numeric	age_days_numeric	-0.114002581308724	0.0523356845776795	462	30	0.0299926768128988	0.101975101163856
ASV_35	collection_season2	winter	-0.325066837946268	0.152356889535797	462	41	0.0334138995658881	0.109237748580788
ASV_35	collection_season2	spring	-0.321041640111024	0.154214422232947	462	41	0.0379191645159349	0.119375147550165
Moraxella	collection_season2	winter	0.424137996680263	0.209226008755831	462	458	0.0432259341898707	0.131221585933536
ASV_35	collection_season2	autumn	-0.339724399404351	0.173326086332473	462	41	0.0506104703301086	0.143886484205917
Streptobacillus	age_days_numeric	age_days_numeric	-0.113311953658768	0.057828043563517	462	44	0.0507834650138531	0.143886484205917
Porphyromonas	collection_season2	spring	-0.346925759560356	0.200675916282366	462	79	0.0845263629275802	0.231765833833688
Dolosigranulum	collection_season2	autumn	0.565108116975093	0.34778094070268	462	381	0.104903143450046	0.278648974789184
Streptococcus	collection_season2	spring	-0.474613487980048	0.29547194799398	462	394	0.10891092225004	0.280528133068285
Dolosigranulum	collection_season2	winter	0.478439665263841	0.309284308708746	462	381	0.122576100038267	0.304034712903964
Fusobacterium	collection_season2	spring	-0.327458922895802	0.213766752917071	462	62	0.126260694306905	0.304034712903964
Haemophilus	collection_season2	winter	0.592390525451669	0.3892681499504	462	381	0.128767643112267	0.304034712903964
Streptobacillus	collection_season2	autumn	-0.270826925410255	0.184581373135961	462	44	0.143007195137799	0.328530042884133
Gemella	collection_season2	winter	-0.179102808046767	0.124985606699396	462	31	0.152588838389404	0.332565417002547
ASV_22	collection_season2	autumn	-0.367462421834354	0.255702024667497	462	154	0.151455411394605	0.332565417002547
Acinetobacter	collection_season2	autumn	0.239385451468215	0.172457565621233	462	41	0.165804740789268	0.352335074177195
Alloprevotella	collection_season2	spring	-0.217196532383786	0.158293297693803	462	45	0.170706805725828	0.353005799062336
Streptococcus	collection_season2	autumn	0.449195764699391	0.330213003278869	462	394	0.174426394830802	0.353005799062336
Moraxella	collection_season2	spring	0.270941936548747	0.210732409688367	462	458	0.199201786481575	0.393770973277531
Corynebacterium	mom_smoke	yes	0.630398710332025	0.495742556107161	462	383	0.207494420081152	0.400841493338589
Haemophilus	mom_smoke	yes	-0.827632238976404	0.680542602674401	462	381	0.227765750584701	0.420871495645643
Moraxella	age_days_numeric	age_days_numeric	0.0881173326913336	0.0725739881228772	462	458	0.225429562187487	0.420871495645643
Porphyromonas	collection_season2	autumn	-0.266223303097335	0.224975960770149	462	79	0.237305498674216	0.429169518878901
Gemella	collection_season2	autumn	-0.167625564744447	0.144413948027507	462	31	0.24636007659304	0.434369024424989
Staphylococcus	collection_season2	winter	0.228217969246099	0.198300904677764	462	59	0.250400967021464	0.434369024424989
Dolosigranulum	mom_smoke	yes	0.492089249877163	0.456585649078443	462	381	0.284622555123525	0.483858343709992
Acinetobacter	collection_season2	spring	0.160643767842534	0.15375556871864	462	41	0.296670396078503	0.48494199358986
Moraxella	mom_smoke	yes	-0.320970587462743	0.302954125211729	462	458	0.292800785048507	0.48494199358986
Alloprevotella	collection_season2	autumn	-0.16482890956165	0.179047110361293	462	45	0.357752935463981	0.573754707819592
Staphylococcus	collection_season2	autumn	0.199025331421229	0.226531464233029	462	59	0.380098224517012	0.598302760813816
Neisseria	age_days_numeric	age_days_numeric	0.072282040559236	0.0852700547240783	462	115	0.397142427164567	0.613765569254331
Helcococcus	collection_season2	autumn	0.129079790763255	0.170142935610586	462	60	0.448497858299679	0.680755677776299
Prevotella	collection_season2	winter	0.106869761089054	0.151349541149137	462	30	0.480479471231699	0.696983136265505
ASV_35	mom_smoke	yes	0.135105407801157	0.195649895918538	462	41	0.491988096187415	0.696983136265505
ASV_22	collection_season2	winter	0.160673372714296	0.231339272956051	462	154	0.48772241258387	0.696983136265505
ASV_22	mom_smoke	yes	-0.348150695156588	0.495488128587934	462	154	0.484457024270469	0.696983136265505
Prevotella	collection_season2	autumn	-0.109986781708435	0.170209185463539	462	30	0.518496797142349	0.722495537001633
Acinetobacter	age_days_numeric	age_days_numeric	0.0336905795466733	0.0536134760525506	462	41	0.530117313075586	0.726773735668143
Gemella	collection_season2	spring	-0.0750162193956185	0.127492697695734	462	31	0.55656072684088	0.727810181253459
Fusobacterium	age_days_numeric	age_days_numeric	-0.0434594051618058	0.0735320540960644	462	62	0.554851359982194	0.727810181253459
Haemophilus	collection_season2	autumn	-0.265447145122708	0.433515396056347	462	381	0.540657701285829	0.727810181253459
Streptococcus	mom_smoke	yes	0.213133540812032	0.428889276905935	462	394	0.620714316286958	0.7874733863342
Helcococcus	mom_smoke	yes	-0.183077721948184	0.365888552557063	462	60	0.618284536779762	0.7874733863342
Porphyromonas	age_days_numeric	age_days_numeric	-0.0305789721767206	0.0698456879161571	462	79	0.661772109522245	0.827215136902806
Prevotella	mom_smoke	yes	-0.0823315895313189	0.223034119304156	462	30	0.713061467255741	0.858543279615902
Gemella	age_days_numeric	age_days_numeric	0.0167284124678556	0.0461402480430367	462	31	0.717136151208577	0.858543279615902
Staphylococcus	collection_season2	spring	-0.0764575824130804	0.20112821372819	462	59	0.704015951483786	0.858543279615902
Fusobacterium	mom_smoke	yes	0.0930078275542924	0.309928138453495	462	62	0.764943167858977	0.903057906500181
Streptococcus	age_days_numeric	age_days_numeric	0.0258235689840513	0.101620792511532	462	394	0.799541938105258	0.925468178888069
Staphylococcus	mom_smoke	yes	0.0569747761671063	0.244776202672269	462	59	0.81658956960712	0.925468178888069
Neisseria	mom_smoke	yes	0.0729802994148981	0.296928857696478	462	115	0.80652566369449	0.925468178888069
Porphyromonas	mom_smoke	yes	0.0272893720756542	0.269074139015981	462	79	0.919488690261149	0.960291707804812
Alloprevotella	mom_smoke	yes	0.0314608656606221	0.178916601485466	462	45	0.860893425973048	0.960291707804812
Prevotella	collection_season2	spring	0.0130001558298015	0.15234853012536	462	30	0.932035645666	0.960291707804812
Dolosigranulum	age_days_numeric	age_days_numeric	-0.0153074218523444	0.10691556400463	462	381	0.886228869564661	0.960291707804812
