feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Helcococcus	age_days_numeric	age_days_numeric	0.25369978137549	0.0507442307768432	462	60	8.77192452524844e-07	7.45613584646118e-05
Corynebacterium	collection_season2	winter	1.41557234747289	0.30024179980161	462	383	3.23351599345281e-06	0.000137424429721745
Neisseria	collection_season2	winter	-0.980898904493558	0.238005201773772	462	115	4.48614648645821e-05	0.00127107483782983
Corynebacterium	collection_season2	autumn	1.27300033954711	0.335319396561271	462	383	0.000167945608798871	0.00336046837510382
Streptobacillus	collection_season2	winter	-0.608031834843214	0.16201890987415	462	44	0.000197674610300225	0.00336046837510382
Helcococcus	collection_season2	winter	0.564912249058247	0.154342375283474	462	60	0.000284108681606359	0.00402487298942342
ASV_22	age_days_numeric	age_days_numeric	-0.253332912198069	0.0765816064360101	462	154	0.00102873580408793	0.0124917919067819
Porphyromonas	collection_season2	winter	-0.622775699301379	0.198732405593786	462	79	0.00183737590412058	0.0195221189812812
Helcococcus	collection_season2	spring	0.465860085651204	0.15394398515344	462	60	0.00263084106598147	0.0245429459246112
Neisseria	collection_season2	autumn	-0.813600850206693	0.271572831782909	462	115	0.00288740540289543	0.0245429459246112
Corynebacterium	collection_season2	spring	0.848440476355279	0.301242397275353	462	383	0.00507300378347295	0.0365824035998828
Neisseria	collection_season2	spring	-0.677983374512831	0.241260475626767	462	115	0.00516457462586581	0.0365824035998828
Haemophilus	collection_season2	spring	1.06481004497608	0.390054576274187	462	381	0.00659118853015966	0.0430962326971978
ASV_35	age_days_numeric	age_days_numeric	-0.139909380901425	0.0541916391645709	462	41	0.0101998322551463	0.061927552977674
Alloprevotella	collection_season2	winter	-0.379216998064824	0.155407223141109	462	45	0.015079290300199	0.0833678799509975
Haemophilus	age_days_numeric	age_days_numeric	0.318776426656665	0.131355229721495	462	381	0.0156927774025407	0.0833678799509975
Streptococcus	collection_season2	winter	-0.698376342428246	0.293453418540849	462	394	0.0177301414701597	0.0875417187339033
Fusobacterium	collection_season2	autumn	-0.564664172243165	0.238911214549473	462	62	0.0185382463201207	0.0875417187339033
Corynebacterium	age_days_numeric	age_days_numeric	-0.235078069011889	0.102040184634757	462	383	0.0217712938998675	0.092527999074437
Moraxella	collection_season2	autumn	0.546763174806004	0.235593133617605	462	458	0.0207541944657256	0.092527999074437
Alloprevotella	age_days_numeric	age_days_numeric	0.128941601278611	0.0569801114597721	462	45	0.0241972793144533	0.0979413686537395
Fusobacterium	collection_season2	winter	-0.470440368308524	0.212298256014271	462	62	0.0271890461682708	0.100262965503287
Streptobacillus	collection_season2	spring	-0.364888131727572	0.164108974087627	462	44	0.0266747592606718	0.100262965503287
Acinetobacter	collection_season2	winter	0.334833240441038	0.152197544827573	462	41	0.0283095432009282	0.100262965503287
Prevotella	age_days_numeric	age_days_numeric	-0.114002581308724	0.0523356845776795	462	30	0.0299926768128988	0.101975101163856
ASV_35	collection_season2	winter	-0.325066837946268	0.152356889535797	462	41	0.0334138995658881	0.109237748580788
ASV_35	collection_season2	spring	-0.321041640111024	0.154214422232947	462	41	0.0379191645159349	0.119375147550165
Moraxella	collection_season2	winter	0.424137996680263	0.209226008755831	462	458	0.0432259341898707	0.131221585933536
ASV_35	collection_season2	autumn	-0.339724399404351	0.173326086332473	462	41	0.0506104703301086	0.143886484205917
Streptobacillus	age_days_numeric	age_days_numeric	-0.113311953658768	0.057828043563517	462	44	0.0507834650138531	0.143886484205917
Porphyromonas	collection_season2	spring	-0.346925759560356	0.200675916282366	462	79	0.0845263629275802	0.231765833833688
