feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Helcococcus	age_days_numeric	age_days_numeric	0.253783689283517	0.0507439313575269	462	60	8.70027852502572e-07	7.39523674627186e-05
Corynebacterium	collection_season2	winter	1.42564112754861	0.300403638240348	462	383	2.79660148857634e-06	0.000118855563264495
Neisseria	collection_season2	winter	-0.977860441704876	0.237866039904034	462	115	4.68512192027188e-05	0.0013274512107437
Corynebacterium	collection_season2	autumn	1.28090008371956	0.335466768766998	462	383	0.000154196380251106	0.003276673080336
Streptobacillus	collection_season2	winter	-0.607715781781556	0.161965121191508	462	44	0.000198222042239603	0.00336977471807324
Helcococcus	collection_season2	winter	0.563178259242638	0.154320978735025	462	60	0.000295845323630195	0.0041911420847611
ASV_22	age_days_numeric	age_days_numeric	-0.253006312352366	0.0765802278542475	462	154	0.00104384531878869	0.0126752645852912
Porphyromonas	collection_season2	winter	-0.621292620810332	0.198636773273275	462	79	0.00187423515576554	0.0199137485300088
Helcococcus	collection_season2	spring	0.463412577330752	0.153961697091107	462	60	0.00277254236133978	0.0252913775287712
Neisseria	collection_season2	autumn	-0.81093012596158	0.271529552607071	462	115	0.00297545617985543	0.0252913775287712
Corynebacterium	collection_season2	spring	0.85844709065662	0.301521847349148	462	383	0.00461871458951045	0.0356900672825808
Neisseria	collection_season2	spring	-0.672707199546936	0.241358559748107	462	115	0.00553907795967556	0.0392351355477019
Haemophilus	collection_season2	spring	1.06077022254454	0.39049484426262	462	381	0.00686036714116323	0.0448562466922212
ASV_35	age_days_numeric	age_days_numeric	-0.139844203903467	0.0541925254797348	462	41	0.0102360554964416	0.0621474797998243
Alloprevotella	collection_season2	winter	-0.379441679518059	0.155284627202901	462	45	0.0149415320323565	0.0831122475977216
Haemophilus	age_days_numeric	age_days_numeric	0.318931970655916	0.131358028659019	462	381	0.0156446583713358	0.0831122475977216
Streptococcus	collection_season2	winter	-0.69568972916211	0.292870921056287	462	394	0.0179419706138221	0.0897098530691106
Corynebacterium	age_days_numeric	age_days_numeric	-0.235390437923596	0.102045355248757	462	383	0.0216048028340041	0.0918204120445174
Fusobacterium	collection_season2	autumn	-0.559810938910536	0.238698493197276	462	62	0.0194571245617542	0.0918204120445174
Moraxella	collection_season2	autumn	0.544346630273902	0.235746287559327	462	458	0.0214045212243918	0.0918204120445174
Alloprevotella	age_days_numeric	age_days_numeric	0.129039960490539	0.0569801343853141	462	45	0.0240900823082941	0.0975074760097616
Prevotella	age_days_numeric	age_days_numeric	-0.114074801696162	0.0523354865553928	462	30	0.029888734657979	0.101621697837129
Fusobacterium	collection_season2	winter	-0.466598395889667	0.211942399690394	462	62	0.0281986669039057	0.101621697837129
Streptobacillus	collection_season2	spring	-0.364692713912382	0.164204581644725	462	44	0.0268438503175331	0.101621697837129
Acinetobacter	collection_season2	winter	0.333527888081984	0.152043507637922	462	41	0.0287670699197985	0.101621697837129
ASV_35	collection_season2	winter	-0.323218171125949	0.152320909307304	462	41	0.0343845125129984	0.112410906292495
ASV_35	collection_season2	spring	-0.322962936668133	0.154312248134056	462	41	0.0369086901629287	0.116194024586998
Moraxella	collection_season2	winter	0.41872478659091	0.209405195339084	462	458	0.0461376621100699	0.140060759976998
ASV_35	collection_season2	autumn	-0.339478307256316	0.173333323232155	462	41	0.0507868710158487	0.143896134544905
Streptobacillus	age_days_numeric	age_days_numeric	-0.113319178294236	0.0578286069775329	462	44	0.05077105208474	0.143896134544905
Staphylococcus	pets	yes	-0.374377112167424	0.201529756624998	462	59	0.0671932452418652	0.184239543405114
Porphyromonas	collection_season2	spring	-0.343774127386161	0.200745612481269	462	79	0.0874891859942348	0.232393150297186
